"type","purity","purity_c1","purity_c2","improvement","improvement_c1","improvement_c2"
"NormalClustering",0.630997474747475,0.654054054054054,0.615056059797117,0,0,0
"NN_ 0 _ 1 _KMeansClustering",0.867424242424242,0.847037484885127,0.889696169088507,37.4687343671836,29.5057311601227,44.6528580471158
"NN_ 0 _ 2 _KMeansClustering",0.60479797979798,0.646840148698885,0.583173996175908,-4.152076038019,-1.10295247165811,-5.18360287869131
"NN_ 0 _ 3 _KMeansClustering",0.819444444444444,0.767167381974249,0.894171779141104,29.8649324662331,17.2941865001951,45.3805331884799
"NN_ 0 _ 4 _KMeansClustering",0.643939393939394,0.681818181818182,0.620531154239019,2.05102551275638,4.24492862509391,0.89017811542389
"NN_ 0 _ 5 _KMeansClustering",0.64614898989899,0.686094920899251,0.621759023894255,2.40120060030016,4.89881022013336,1.08981352030728
"NN_ 0 _ 6 _KMeansClustering",0.620896464646465,0.647864625302176,0.603528801245459,-1.6008004002001,-0.946317619088832,-1.87418014472699
"NN_ 0 _ 7 _KMeansClustering",0.582386363636364,0.594158339738663,0.574183181574719,-7.70385192596297,-9.15760921351025,-6.64539070404095
"NN_ 0 _ 8 _KMeansClustering",0.609848484848485,0.634304207119741,0.594202898550725,-3.35167583791895,-3.0196046965685,-3.39044887278585
"NN_ 0 _ 9 _KMeansClustering",0.649305555555556,0.674560733384263,0.631522323830016,2.9014507253627,3.13531874056912,2.67719726854343
"NN_ 0 _ 10 _KMeansClustering",0.655618686868687,0.690647482014389,0.632759520083464,3.90195097548776,5.59486295261313,2.87834905523676
"NN_ 1 _ 1 _KMeansClustering",0.868055555555556,0.848062953995157,0.889841688654354,37.5687843921961,29.6625177595902,44.6765176084726
"NN_ 1 _ 2 _KMeansClustering",0.872159090909091,0.871565495207668,0.872738615096694,38.2191095547774,33.255881498693,41.895783513551
"NN_ 1 _ 3 _KMeansClustering",0.839962121212121,0.860639021074099,0.82203889216264,33.1165582791396,31.5853048749656,33.6526775191514
"NN_ 1 _ 4 _KMeansClustering",0.583017676767677,0.581625908790482,0.58429003021148,-7.60380190095047,-11.0737246890585,-5.00215046995636
"NN_ 1 _ 5 _KMeansClustering",0.79324494949495,0.728822055137845,0.902813299232737,25.7128564282141,11.4314712400837,46.7855303353225
