"DF.L1.C1","label"
-0.425437266909676,"1"
-0.307202423246101,"2"
-0.314629929231047,"1"
0.201695404724996,"1"
-0.433773712541486,"1"
-0.3188078186329,"1"
-0.357941853236026,"1"
-0.457416405572411,"1"
-0.32211688031257,"1"
-0.343550219426952,"2"
-0.411190241979198,"1"
-0.306510328031059,"1"
-0.345087427139192,"1"
-0.353236694557158,"1"
-0.248283951481063,"1"
-0.261933799950395,"2"
-0.367546802835084,"1"
-0.300900208621796,"1"
-0.43860511412445,"2"
-0.318511998837069,"1"
-0.403728687275388,"1"
-0.361689664082675,"2"
-0.339279789601374,"1"
-0.195279517986629,"1"
-0.328064458340292,"2"
-0.0173653797287396,"2"
-0.309019426600358,"2"
-0.487881358927612,"2"
-0.372946833258516,"2"
-0.409920066303876,"1"
-0.342686289644916,"1"
-0.331957922389602,"1"
-0.398735808353178,"1"
-0.340879003353191,"1"
-0.295657631352195,"2"
-0.221398220462982,"2"
-0.0482488995610215,"1"
-0.476155400437167,"2"
-0.114614011470335,"2"
-0.27537697825735,"1"
-0.032919694857509,"1"
-0.256795227214763,"1"
-0.106541123948417,"2"
-0.155296317089052,"1"
-0.0409965080298202,"1"
-0.046392970890333,"2"
-0.172017646484521,"1"
-0.239079786305162,"2"
-0.0375563196796023,"1"
-0.140388651214816,"1"
-0.0564694118020728,"1"
0.00332042739804228,"2"
0.160586640589754,"2"
-0.204788755200581,"2"
-0.129277401037691,"2"
-0.207900918640648,"1"
-0.334825556969908,"2"
-0.296652818245166,"2"
-0.455910261636724,"2"
-0.286232325525995,"2"
-0.202672618355936,"2"
0.325276201579672,"2"
-0.284743838640815,"1"
-0.311526734063685,"2"
-0.329445743145649,"2"
-0.290376010216226,"1"
-0.248132859508175,"1"
-0.335073639128846,"2"
-0.266663286102635,"2"
-0.345798979334449,"2"
-0.349391774994221,"2"
-0.22586467576594,"2"
-0.274398831521149,"2"
-0.316502469636471,"2"
-0.22659452013636,"2"
-0.559143955822576,"1"
-0.615489339019076,"2"
-0.398253927187181,"1"
-0.583471470227167,"2"
-0.488417726220137,"1"
-0.356073616789297,"2"
-0.520957776076037,"1"
-0.478090639636686,"1"
-0.501808554601634,"1"
-0.593174603348688,"2"
0.287229363039073,"2"
0.417805761583398,"2"
0.347409249729589,"2"
0.311521328267364,"1"
0.54928761636776,"2"
0.435910872192075,"2"
0.262087800506953,"1"
0.287777517460175,"1"
0.206417230596789,"1"
0.427112638670256,"1"
-0.42987646288014,"1"
-0.34362690288119,"2"
-0.124436745218277,"2"
-0.079970560976963,"2"
-0.136384309628717,"1"
-0.138744659146914,"1"
-0.333919599920515,"1"
-0.306077302656576,"1"
-0.178061096468182,"2"
-0.186581735594768,"2"
0.173318361374571,"1"
0.197449664678661,"2"
-0.122429082068679,"2"
0.100962381610303,"1"
-0.0286791228968626,"1"
0.0455071368728475,"2"
-0.171962882776431,"1"
0.0626421783015578,"1"
0.0263241697093566,"2"
-0.0654765272130147,"1"
-0.0947332031335562,"2"
-0.312255489675954,"2"
-0.0335513852861122,"2"
-0.155493861307691,"2"
-0.623956960426845,"1"
-0.502650777181872,"1"
-0.46243598831416,"2"
-0.595660648056639,"2"
-0.6138819976464,"1"
-0.467237708631663,"1"
-0.610724784538313,"2"
-0.558469881647697,"2"
0.325276201579672,"1"
0.0335636883658994,"2"
0.409340798243307,"2"
0.330122252270481,"2"
0.0659744488165516,"1"
0.397092398608218,"1"
0.504827913969138,"2"
0.346224063638122,"1"
0.587572561702052,"1"
0.423269529411188,"2"
0.440389699691179,"2"
0.46017478913293,"2"
0.494184982027534,"1"
0.470589346486394,"1"
-0.215647886614748,"2"
-0.239766415616455,"2"
-0.243159549467753,"2"
-0.159494763395275,"1"
-0.418448669820066,"1"
-0.387945462470054,"1"
-0.492848140772672,"1"
-0.466131525424487,"1"
-0.227499110194857,"2"
-0.0233391850151989,"1"
0.0160840279542811,"1"
0.0634997555137748,"2"
-0.221765079457494,"1"
-0.32218598740996,"1"
-0.20932201528838,"2"
-0.230172643706354,"1"
-0.088791091443035,"2"
-0.176740101709307,"1"
-0.274983109422145,"1"
-0.0601570189919973,"2"
-0.379593309864671,"1"
-0.0919241749667714,"2"
-0.115413725642884,"1"
-0.141810881482178,"2"
-0.195117726846008,"2"
-0.280646316339027,"2"
-0.0545937675633765,"1"
-0.158494661905844,"1"
-0.281201145760555,"2"
-0.412080483440997,"1"
-0.350991835193439,"2"
-0.399276325065206,"2"
-0.096037335578862,"1"
-0.0676912471714533,"1"
-0.243612088165549,"2"
-0.387765699253693,"2"
-0.298559211613391,"2"
-0.25425090491895,"2"
-0.388480556060917,"2"
-0.172980650508712,"1"
-0.0678134248855784,"1"
-0.240700574009182,"1"
-0.326541210151948,"1"
-0.182615508272392,"2"
-0.323396991442314,"1"
-0.350286076638191,"1"
-0.337516169929163,"2"
-0.340649362993911,"1"
-0.163150922679963,"2"
-0.236440774684925,"1"
-0.0697683814793801,"2"
-0.275299776134454,"1"
-0.407559008742766,"2"
-0.54073326124943,"2"
-0.364114455778662,"1"
-0.440561571763953,"2"
-0.496118003329736,"2"
-0.270773503520859,"1"
-0.0379586883592375,"1"
-0.0129061274375368,"1"
0.0447502802493672,"2"
0.163055186355945,"1"
0.00905837417864552,"2"
0.103333921659765,"2"
0.107754937225352,"2"
-0.0900697615367478,"1"
-0.387573818096734,"1"
-0.0286888175122313,"2"
0.152070524251567,"1"
-0.100059581267165,"2"
-0.151528122738509,"2"
0.146909221735677,"2"
-0.202958175679707,"1"
-0.238144962323601,"2"
0.0578709803520117,"2"
-0.0258353229661674,"1"
-0.393927463162177,"1"
-0.262528452645742,"2"
0.288398733919954,"2"
-0.00130921234002646,"1"
-0.0274948320671395,"2"
-0.00256437647762531,"2"
-0.166899783682098,"1"
0.121754259095824,"1"
-0.0910075790054401,"2"
0.14717657767588,"2"
-0.0157079951376133,"1"
-0.0983787956124023,"1"
-0.409226232600025,"1"
-0.173199011574295,"1"
0.0906500833882735,"1"
0.10106535288944,"2"
0.170852954025143,"2"
0.15263098327397,"1"
0.0247236755384463,"2"
-0.115652717272258,"1"
0.0686423172799296,"2"
-0.360808176969212,"2"
0.217169188660722,"1"
0.183430313146257,"2"
-0.218346289170864,"2"
-0.0389330047886904,"1"
-0.0320485089751734,"1"
-0.165378995442599,"1"
-0.0855522045346859,"2"
0.0237068699716805,"1"
0.060779766782446,"2"
0.149657449946433,"2"
-0.212583471050815,"2"
-0.00572639401553099,"1"
0.0167163541727589,"1"
0.265924605883075,"2"
0.125130171526819,"1"
0.0642555292838175,"2"
0.0471250633835056,"2"
0.236994942463976,"1"
-0.183864987571189,"2"
-0.130963374274128,"2"
-0.0358895824969574,"2"
-0.0185266714821506,"2"
0.219391294092734,"1"
-0.321037683050128,"1"
0.290890249163033,"2"
-0.454308338327102,"2"
-0.137592765442666,"2"
0.0661691120037616,"1"
0.125523678586019,"2"
0.0365785802405891,"2"
-0.178663172974127,"2"
-0.0590061727008464,"1"
0.158775860947254,"1"
-0.123238947334043,"1"
0.210081048480379,"1"
0.00569624623325238,"2"
-0.0973949557128633,"1"
0.0143752469560848,"2"
0.264210961771155,"1"
-0.377385988016779,"1"
0.24729386794918,"2"
-0.0530904477872729,"2"
-0.336119300355436,"1"
-0.432613695960932,"2"
-0.533359441982219,"2"
-0.244872483292039,"1"
-0.291892591570369,"1"
-0.314303707236075,"1"
-0.125180954330649,"2"
-0.313433187698183,"2"
-0.363363890427867,"1"
-0.375555463791925,"2"
-0.292574343905039,"1"
-0.391395427275226,"2"
-0.361068500169409,"1"
-0.317251034105968,"2"
0.195888539557748,"2"
-0.109574065915233,"1"
-0.039673910497019,"1"
0.0733227498445335,"1"
0.264859510241883,"2"
0.00687049441760079,"1"
0.166194952299742,"2"
0.109332141924427,"2"
0.209253670884759,"2"
0.215900956707959,"2"
-0.125783655099651,"2"
-0.07315305768789,"1"
-0.431813565701855,"1"
-0.42743531048502,"1"
-0.607182554965222,"1"
-0.0800166008927916,"2"
-0.0290263651707814,"2"
0.157831279091856,"1"
-0.307758776943152,"2"
-0.513716424460636,"2"
-0.371058084593451,"1"
