"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","DF.L2.C7","DF.L2.C8","DF.L2.C9","DF.L2.C10","label"
0.999728155097931,-0.987156747151253,-0.896638794177947,0.999027270224318,0.998593776700633,-0.838298048589217,-0.778444524985067,0.12206358190124,-0.0421842144277162,0.76622015580077,-0.639059006698057,-0.82057952357633,-0.756530498475335,0.4500225431789,0.120799269150557,"2"
0.999809983179256,-0.842206873959335,-0.965804459825824,0.999998638722736,0.999365668889215,-0.823049201097294,-0.710298080638244,0.166155926868486,-0.0207922740845035,0.754491791610165,-0.605365443101946,-0.827925674774691,-0.706695313939799,0.452267010171547,0.0986614718806182,"2"
0.999921798868131,-0.0925322118070464,-0.649577877378627,0.999999994662024,0.999986808335327,-0.811565025104613,0.00208354212805917,0.149271993458988,-0.141704906810266,0.631294442920825,-0.451131888757955,-0.746486504672795,-0.291448177292189,0.191150174417658,-0.187422330550512,"2"
0.895907024803951,0.0170263000582026,0.0652214260904693,0.115066683561938,0.335082890634403,-0.553175919804285,0.154802053849814,0.27066339847017,-0.148004879571813,0.414194447825861,-0.364388591139976,-0.180552459572495,-0.198826946004471,-0.435612477508675,-0.147396013095265,"1"
0.984309355545006,-0.239587872804496,0.80135559977806,0.371094686638288,0.580843727467891,-0.825751910737919,0.0199676147709112,-0.146188381790626,-0.431913793547022,0.447325521012532,-0.542320906075805,0.0067543786316876,-0.356278324601995,-0.589706163905245,-0.348128460466134,"2"
0.963315386049412,-0.109159443656239,0.766801075571857,0.693343004038679,0.461904350396906,-0.84145435967113,0.0512783191374722,-0.0785665272773892,-0.568142048226911,0.436957275194618,-0.54992941132539,0.0202167034020374,-0.337058027809986,-0.584036537073866,-0.280170386301972,"2"
0.673308116841375,-0.304037796573305,0.667099774731936,0.372250774274506,0.575646703438993,-0.75932130872809,-0.123650342367388,-0.232927214970622,-0.359330636467387,0.369577823391146,-0.433323855812945,-0.0230992292042076,-0.305579595887326,-0.387154310069727,-0.340582040744994,"2"
0.980551376018914,0.930982076207599,-0.938259232505102,0.176013638156927,-0.962545243337485,0.336398343184793,0.529071405758512,0.911237505271718,-0.25123654541319,0.295225514229329,-0.150710900909059,-0.0267478286236775,0.0526696016750414,-0.611993029656507,0.546871115168729,"2"
0.931583175937317,0.17573579267905,0.851913372343258,0.237476885964941,0.759680651039193,-0.80137501976675,0.520213749113641,-0.22096400942909,-0.344168977621538,0.329252151945487,-0.387565951051149,0.00540097485445779,0.0341703155165692,-0.60763157001264,-0.548342266565734,"2"
0.95007900320923,-0.466164161171668,0.402666964039971,0.609139355325745,0.441809465951099,-0.807252708998587,-0.375409000669662,0.0198977840304987,-0.44266986587193,0.535339845279115,-0.591199185002904,-0.166328043930678,-0.55291524450748,-0.416251090688543,-0.0957461912344189,"2"
0.91904033316407,0.891671658147006,-0.973874615798876,0.505113999901553,-0.993583390524466,0.241853007827015,0.423303200217353,0.907592029622765,-0.385999599870816,0.314138780475188,-0.189495068861034,-0.0634393471088723,-0.0161151882631532,-0.544233007292896,0.592370920297051,"1"
0.937473084269199,-0.397153976381435,0.0286576291354652,0.461441181270846,0.481212522032345,-0.728403936493293,-0.316841017566081,0.149554330661648,-0.254605191158677,0.5475035917114,-0.524237840856105,-0.333225816479871,-0.496921754112306,-0.27932265457513,-0.0601832365512152,"1"
0.973667081780622,0.158674142766288,-0.0331114045842471,0.543194813845005,-0.13877057022859,-0.536210314960678,0.0606754596141552,0.54137085947321,-0.449521618692756,0.43270347715755,-0.448781024244292,-0.0615376575480857,-0.31387924165644,-0.542304659075451,0.167322189040668,"1"
0.787921326634701,0.688773880794632,0.878295100653157,-0.658877482495347,-0.225635341339787,-0.132830743734933,0.74910684070206,0.360412633238775,-0.217226829754199,-0.00648135587603749,-0.108888988762334,0.560634025571901,0.327928031599523,-0.841681371882571,-0.322195649150893,"2"
