"DF.L1.C1","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","DF.L2.C7","label"
0.999999880298921,-0.376976571407612,0.573539991694148,-0.589705131369994,-0.457456637658546,-0.405895992000743,0.0668469527757308,0.0495271299322169,"2"
0.999999961505006,-0.376976598909669,0.573540027357022,-0.589705167217825,-0.457456669549464,-0.405896020891534,0.0668469578013405,0.0495271335049756,"2"
0.999999985587277,-0.376976607065609,0.573540037933114,-0.589705177848766,-0.457456679006954,-0.405896029459313,0.0668469592917226,0.0495271345645036,"2"
0.992040639815338,-0.374277828420879,0.570034129324149,-0.586180420267381,-0.45432527140917,-0.403060431957881,0.0663543621580505,0.0491769475745366,"1"
0.998473623826235,-0.376459556899942,0.572869329191289,-0.589030966194018,-0.456857044708895,-0.405352850576827,0.0667524965796736,0.0494599802334583,"2"
0.997860262883158,-0.376251716743429,0.572599591856763,-0.588759806323057,-0.456615967584343,-0.405134496149023,0.0667145368677441,0.0494329944708539,"2"
0.967340490200686,-0.365862415880081,0.559021360289918,-0.575099884634473,-0.444536038296875,-0.394211497249964,0.0648254860438624,0.0480901395672617,"2"
0.995091867380634,-0.375313162244071,0.571380593242775,-0.587534280594949,-0.455527035225373,-0.40414838170739,0.0665432038706427,0.0493111937348735,"2"
0.991987412279799,-0.37425975911222,0.570010613524848,-0.586156773552881,-0.454304292382725,-0.403041442951044,0.0663510678420447,0.0491746056841749,"2"
0.997973425564476,-0.376290065284372,0.572649366664245,-0.58880984422632,-0.45666045041201,-0.405174785160193,0.0667215402998107,0.0494379732433357,"2"
0.993423000872112,-0.374747003044744,0.570644526096634,-0.586794194329413,-0.454869936744938,-0.403553469859691,0.0664399176347578,0.0492377681238755,"1"
0.996717794816305,-0.37586448526002,0.572096838780997,-0.58825438076897,-0.456166749884085,-0.404727658134715,0.0666438312335699,0.0493827296302478,"1"
0.998251308673148,-0.376384228771951,0.572771576134106,-0.588932698520843,-0.456769673081605,-0.405273712474063,0.0667387379509683,0.0494501991430647,"1"
0.667294209470174,-0.259141605209942,0.409529217230544,-0.423572794115939,-0.317489406194251,-0.281189278903689,0.0462311982115519,0.0348797531773459,"2"
0.931451989512681,-0.353527981691476,0.542662402227683,-0.558616944697055,-0.430121644604189,-0.381223230800484,0.062603539075986,0.0465108412205335,"1"
0.933418259561962,-0.354207007941528,0.54356963608101,-0.559531767295917,-0.430917188508668,-0.381938809616698,0.0627252920521818,0.0465973743899247,"1"
0.413768448946257,-0.163619269381709,0.262812633667975,-0.273322660528669,-0.20019878288494,-0.179034026164828,0.0304943185929601,0.0237078689655132,"2"
0.908098392661641,-0.345434751603436,0.531790234227003,-0.547647476444198,-0.420621948101466,-0.372689429917772,0.0611573246329189,0.0454830246137952,"1"
0.924019193901196,-0.350957796972247,0.539221469647321,-0.555146482071577,-0.42710833444831,-0.378514110583167,0.0621432777649723,0.0461837265692892,"1"
0.882683936803346,-0.336568598809469,0.519756227685763,-0.535492372524655,-0.410178151392108,-0.363330428012232,0.0595831960784136,0.0443643980570591,"1"
0.953905213628626,-0.361259614673949,0.552946775428282,-0.568982465418974,-0.439166179052595,-0.389367235711791,0.0639937485024188,0.0474989386421523,"2"
0.378851118753671,-0.150174459280004,0.241414812509648,-0.251317947854165,-0.183495903457073,-0.164600462808421,0.0283255648800423,0.0221686724139449,"1"
0.983108252519168,-0.37124155369417,0.566074751491679,-0.582198163403132,-0.450797628226952,-0.399868939034365,0.06580150580449,0.0487839353246501,"1"
0.966267313651291,-0.36549540866975,0.558538320448686,-0.574613579166828,-0.444108271889312,-0.393825348816969,0.0647590522076342,0.0480429171372928,"2"
0.929259509117032,-0.352770397037873,0.541649300167704,-0.557595270907437,-0.429233788663876,-0.380424788954161,0.0624677767814761,0.0464143519840008,"2"
0.949863592331571,-0.359871527756476,0.551107792346141,-0.567129762976383,-0.437544624564967,-0.387905736014699,0.0637435264415633,0.0473210861078605,"2"
0.749510555301888,-0.289155677149948,0.453304277211005,-0.46813730042662,-0.353716284163124,-0.313112725686824,0.0513299954602111,0.038500968649146,"1"
0.96996839556791,-0.366760632086183,0.560202587011861,-0.576288994213974,-0.44558266114342,-0.395156477674611,0.0649881612623572,0.0482057730132538,"2"
0.970359590604537,-0.36689428387665,0.560378232255546,-0.576465799120587,-0.445738359430059,-0.395297077852545,0.0650123771124443,0.0482229863195409,"1"
0.946342105472042,-0.358660779582905,0.549501099065434,-0.565510799649082,-0.436129430932499,-0.386630730768353,0.0635255000488865,0.0471661197703116,"2"
0.991046315572715,-0.373940235308477,0.569594685004085,-0.585738519664868,-0.453933286635582,-0.402705647922192,0.0662928219994505,0.0491331994827207,"2"
0.94500038569621,-0.358199155126436,0.548887861685825,-0.564892809583234,-0.435589660161484,-0.386144552256842,0.0634424283361505,0.0471070755333561,"2"
0.782668644367609,-0.301105174070399,0.47037471835289,-0.485475598195423,-0.368039063026626,-0.325794705906244,0.0533856130973799,0.0399611345339406,"1"
0.867429681208408,-0.331218031467138,0.512432314529147,-0.528088050027256,-0.403857271184664,-0.357677391863112,0.0586382303656193,0.0436929228158656,"1"
0.967251263907751,-0.365831906416376,0.558981213730597,-0.575059467591177,-0.444500480566105,-0.394179397309844,0.0648199626083755,0.0480862133972558,"1"
0.975419097842801,-0.368621498649242,0.562645392968497,-0.578747636973177,-0.447749646405448,-0.397113855026151,0.0653255650478018,0.048445611426067,"2"
0.941441041794924,-0.356973699115263,0.547258186804028,-0.563250318506167,-0.434156226215473,-0.384853767707734,0.0632220496023378,0.0469504400816065,"1"
-0.0867763575629932,0.0324860584462415,-0.0583841277311301,0.0582524824826229,0.0456230679485167,0.0322096760633506,-0.000612537388734458,0.00163609308878843,"2"
0.97946572423595,-0.370001107268859,0.564452614058895,-0.580566168826943,-0.44935503336031,-0.398564689266058,0.0655760455106411,0.0486236649531707,"1"
0.809935828381707,-0.310861540965823,0.484154199133249,-0.499453789490165,-0.379688147645055,-0.336136698651808,0.0550756891110564,0.0411617580392162,"2"
0.828027717670299,-0.317299117120946,0.49316683648633,-0.508587629032876,-0.387351742355825,-0.342954377960837,0.0561968879949436,0.0419583113163223,"1"
0.991329940529192,-0.374036541802183,0.56972006705058,-0.585864604657097,-0.454045115835617,-0.402806860257431,0.0663103760076883,0.0491456783796659,"1"
