"type","purity","purity_c1","purity_c2","improvement","improvement_c1","improvement_c2"
"NN_ 1 _ 5 _KMeansClustering",0.515782828282828,0.510173323285607,0.51982618142314,0,-1.79294609312013,1.84189182193131
"NN_ 1 _ 6 _KMeansClustering",0.515782828282828,0.508333333333333,0.521103896103896,0,-2.14713943131211,2.09221565121716
"NN_ 1 _ 7 _KMeansClustering",0.515782828282828,0.508412582297001,0.521377012770683,0,-2.13188420942628,2.14572337943033
"NN_ 1 _ 8 _KMeansClustering",0.515782828282828,0.50738552437223,0.522050716648291,0,-2.32959022104959,2.27771226316746
"NN_ 1 _ 9 _KMeansClustering",0.515782828282828,0.508136094674556,0.52147577092511,0,-2.18510736634699,2.16507161089525
"NN_ 1 _ 10 _KMeansClustering",0.515782828282828,0.510158013544018,0.519847743338771,0,-1.7958931790395,1.84611613066694
"NN_ 2 _ 1 _KMeansClustering",0.515782828282828,0.513803680981595,0.517167381974249,0,-1.09411156438565,1.32099238375982
"NN_ 2 _ 2 _KMeansClustering",0.515782828282828,0.513788098693759,0.51731843575419,0,-1.09711111475738,1.35058612733374
"NN_ 2 _ 3 _KMeansClustering",0.515782828282828,0.514285714285714,0.517022504327755,0,-1.00132139186612,1.29260863909881
"NN_ 2 _ 4 _KMeansClustering",0.515782828282828,0.513293943870015,0.517640573318633,0,-1.19223464866005,1.4136977984311
"NN_ 2 _ 5 _KMeansClustering",0.515782828282828,0.501781895937277,0.526912181303116,0,-3.40827429696605,3.23014747163926
"NN_ 2 _ 6 _KMeansClustering",0.515782828282828,0.512084592145015,0.518438177874187,0,-1.42503174844674,1.56996071816515
"NN_ 2 _ 7 _KMeansClustering",0.515782828282828,0.509549274255157,0.520172135556751,0,-1.91307392806698,1.90966952284304
"NN_ 2 _ 8 _KMeansClustering",0.515782828282828,0.509643916913947,0.52032967032967,0,-1.89485545942221,1.94053299197023
"NN_ 2 _ 9 _KMeansClustering",0.515782828282828,0.509307520476545,0.520547945205479,0,-1.95961090929406,1.9832963753549
"NN_ 2 _ 10 _KMeansClustering",0.515782828282828,0.511144130757801,0.519209659714599,0,-1.60606814908931,1.72110579885116
"NN_ 3 _ 1 _KMeansClustering",0.515782828282828,0.50414364640884,0.525581395348837,0,-2.95364339940833,2.96942616894769
"NN_ 3 _ 2 _KMeansClustering",0.515782828282828,0.519174041297935,0.513245033112583,0,-0.0603310019493986,0.552544308743519
"NN_ 3 _ 3 _KMeansClustering",0.515782828282828,0.512697323266987,0.518410286382233,0,-1.30708258180201,1.56449634871276
"NN_ 3 _ 4 _KMeansClustering",0.515782828282828,0.509695290858726,0.520881670533643,0,-1.88496610705104,2.0486782664247
"NN_ 3 _ 5 _KMeansClustering",0.515782828282828,0.509687034277198,0.52026286966046,0,-1.88655547778087,1.92744572016577
"NN_ 3 _ 6 _KMeansClustering",0.515782828282828,0.505904288377874,0.525978191148172,0,-2.61472434411523,3.04716452902916
"NN_ 3 _ 7 _KMeansClustering",0.515782828282828,0.501732501732502,0.527536231884058,0,-3.41778255447321,3.35240851586311
"NN_ 3 _ 8 _KMeansClustering",0.515782828282828,0.510654490106545,0.519417475728155,0,-1.70032271638657,1.76182013131032
"NN_ 3 _ 9 _KMeansClustering",0.515782828282828,0.51095406360424,0.51968054763263,0,-1.64265558779632,1.81335993710374
"NN_ 3 _ 10 _KMeansClustering",0.515782828282828,0.510463378176383,0.519672131147541,0,-1.73711127190497,1.81171101907196
"NN_ 4 _ 1 _KMeansClustering",0.515782828282828,0.508275862068965,0.522118742724098,0,-2.1582025020378,2.2910396108482
"NN_ 4 _ 2 _KMeansClustering",0.515782828282828,0.513780918727915,0.517398745008557,0,-1.09849323973431,1.36631993737988
"NN_ 4 _ 3 _KMeansClustering",0.515782828282828,0.511530398322851,0.519286125503742,0,-1.53171263528261,1.73608661533224
"NN_ 4 _ 4 _KMeansClustering",0.515782828282828,0.505315379163714,0.524188958451907,0,-2.7280878547137,2.69662650457172
"NN_ 4 _ 5 _KMeansClustering",0.515782828282828,0.515613652868555,0.515912897822446,0,-0.745696626638925,1.07521977005554
"NN_ 4 _ 6 _KMeansClustering",0.515782828282828,0.514240506329114,0.516806722689076,0,-1.01002380735558,1.25033371896415
"NN_ 4 _ 7 _KMeansClustering",0.515782828282828,0.512127512127512,0.518840579710145,0,-1.41676976209349,1.64879738648076
"NN_ 4 _ 8 _KMeansClustering",0.515782828282828,0.517450682852807,0.514594594594595,0,-0.392073074685717,0.816944024205757
"NN_ 4 _ 9 _KMeansClustering",0.515782828282828,0.516056758775205,0.515582285401859,0,-0.660399878113083,1.01044774514483
"NN_ 4 _ 10 _KMeansClustering",0.515782828282828,0.516522988505747,0.515202702702703,0,-0.570651852901927,0.936081694402446
"NN_ 5 _ 1 _KMeansClustering",0.515782828282828,0.513610315186246,0.517494356659142,0,-1.13133398316141,1.38505172066403
"NN_ 5 _ 2 _KMeansClustering",0.515782828282828,0.518407212622089,0.513881328252586,0,-0.207943551780887,0.677204249182828
"NN_ 5 _ 3 _KMeansClustering",0.515782828282828,0.507042253521127,0.522264980758659,0,-2.39566897789616,2.31968987631814
"NN_ 5 _ 4 _KMeansClustering",0.515782828282828,0.513597513597514,0.517278043593833,0,-1.13379825610042,1.34267268593251
"NN_ 5 _ 5 _KMeansClustering",0.515782828282828,0.514216084484159,0.516778523489933,0,-1.01472494976051,1.24480906497173
"NN_ 5 _ 6 _KMeansClustering",0.515782828282828,0.512139605462822,0.518378378378378,0,-1.41444182611856,1.55824508320728
"NN_ 5 _ 7 _KMeansClustering",0.515782828282828,0.505478451424397,0.523624235686493,0,-2.69669686352556,2.58598868593161
"NN_ 5 _ 8 _KMeansClustering",0.515782828282828,0.501052631578947,0.527825588066552,0,-3.54865581219235,3.40909781334111
"NN_ 5 _ 9 _KMeansClustering",0.515782828282828,0.517401392111369,0.514666666666667,0,-0.401561415766294,0.831064044377228
"NN_ 5 _ 10 _KMeansClustering",0.515782828282828,0.502054794520548,0.52751756440281,0,-3.35574202086473,3.34875127104983
"NN_ 6 _ 1 _KMeansClustering",0.515782828282828,0.51095406360424,0.51968054763263,0,-1.64265558779632,1.81335993710374
"NN_ 6 _ 2 _KMeansClustering",0.515782828282828,0.51865671641791,0.513676148796499,0,-0.159914712153519,0.637006458618172
"NN_ 6 _ 3 _KMeansClustering",0.515782828282828,0.515991471215352,0.515616127200454,0,-0.672967565636806,1.01707787058825
"NN_ 6 _ 4 _KMeansClustering",0.515782828282828,0.51865671641791,0.513676148796499,0,-0.159914712153519,0.637006458618172
"NN_ 6 _ 5 _KMeansClustering",0.515782828282828,0.512178148921364,0.518775274407857,0,-1.40702230938186,1.63600307990537
"NN_ 6 _ 6 _KMeansClustering",0.515782828282828,0.513694054776219,0.517654099341712,0,-1.11521432724991,1.41634775302821
"NN_ 6 _ 7 _KMeansClustering",0.515782828282828,0.511930585683297,0.518767507002801,0,-1.45467759662739,1.63448132656998
"NN_ 6 _ 8 _KMeansClustering",0.515782828282828,0.518927444794953,0.513684210526316,0,-0.107800195175101,0.63858587467156
"NN_ 6 _ 9 _KMeansClustering",0.515782828282828,0.513807531380753,0.516979219462747,0,-1.09337037244084,1.2841284726562
"NN_ 6 _ 10 _KMeansClustering",0.515782828282828,0.514372163388805,0.516793066088841,0,-0.98468016164116,1.24765818230694
"NN_ 7 _ 1 _KMeansClustering",0.515782828282828,0.513299784327822,0.517726505346089,0,-1.19111037553853,1.43053319564073
"NN_ 7 _ 2 _KMeansClustering",0.515782828282828,0.518301610541728,0.513873473917869,0,-0.228271680919234,0.675665464998576
"NN_ 7 _ 3 _KMeansClustering",0.515782828282828,0.512839879154079,0.517895878524946,0,-1.27964093981612,1.46371598938047
"NN_ 7 _ 4 _KMeansClustering",0.515782828282828,0.511075949367089,0.51890756302521,0,-1.619192891618,1.66192044139897
"NN_ 7 _ 5 _KMeansClustering",0.515782828282828,0.506015037593985,0.52285092491839,0,-2.59340540457003,2.4344852903653
"NN_ 7 _ 6 _KMeansClustering",0.515782828282828,0.512539184952978,0.517970401691332,0,-1.33752380093239,1.47831621638046
"NN_ 7 _ 7 _KMeansClustering",0.515782828282828,0.506199854121079,0.523094045631608,0,-2.55782869796692,2.48211635293989
"NN_ 7 _ 8 _KMeansClustering",0.515782828282828,0.513280689160086,0.517746478873239,0,-1.19478614626501,1.43444631480258
"NN_ 7 _ 9 _KMeansClustering",0.515782828282828,0.515463917525773,0.515993707393812,0,-0.774520295398451,1.09105159984673
"NN_ 7 _ 10 _KMeansClustering",0.515782828282828,0.510152284263959,0.519133937562941,0,-1.79699605073012,1.7062706723159
"NN_ 8 _ 1 _KMeansClustering",0.515782828282828,0.517420311341735,0.51456844420011,0,-0.397919512531464,0.811820762351356
"NN_ 8 _ 2 _KMeansClustering",0.515782828282828,0.514190317195326,0.517870167760759,0,-1.01968508665521,1.45867885781883
"NN_ 8 _ 3 _KMeansClustering",0.515782828282828,0.515299877600979,0.516297262059974,0,-0.806097559441532,1.15052259722637
"NN_ 8 _ 4 _KMeansClustering",0.515782828282828,0.507807196198235,0.522713864306785,0,-2.24841947797596,2.40763302228233
"NN_ 8 _ 5 _KMeansClustering",0.515782828282828,0.50794701986755,0.52291917973462,0,-2.22150378089204,2.44785745179015
"NN_ 8 _ 6 _KMeansClustering",0.515782828282828,0.511691884456671,0.519253208868145,0,-1.50062696944037,1.72963774345651
"NN_ 8 _ 7 _KMeansClustering",0.517992424242424,0.502227880330999,0.533500313087038,0.428396572827405,-3.32242344707484,4.52086315396587
"NN_ 8 _ 8 _KMeansClustering",0.515782828282828,0.518885448916409,0.512556342562782,0,-0.115884293891744,0.417619306929251
"NN_ 8 _ 9 _KMeansClustering",0.515782828282828,0.519404915912031,0.51233045622688,0,-0.015888231938932,0.373364722210323
"NN_ 8 _ 10 _KMeansClustering",0.515782828282828,0.507936507936508,0.520547945205479,0,-2.22352730060851,1.9832963753549
"NN_ 9 _ 1 _KMeansClustering",0.515782828282828,0.517113095238095,0.514802631578947,0,-0.457057823129259,0.85770164822041
"NN_ 9 _ 2 _KMeansClustering",0.515782828282828,0.516399162595953,0.515273775216138,0,-0.594488022382422,0.950005885763883
"NN_ 9 _ 3 _KMeansClustering",0.515782828282828,0.510072522159549,0.519460300985989,0,-1.81235005089057,1.77021025368462
"NN_ 9 _ 4 _KMeansClustering",0.515782828282828,0.512662559890486,0.518453427065026,0,-1.31377444245837,1.57294826765646
"NN_ 9 _ 5 _KMeansClustering",0.515782828282828,0.515495086923658,0.515989159891599,0,-0.76852026639137,1.09016067467784
"NN_ 9 _ 6 _KMeansClustering",0.515782828282828,0.515151515151515,0.516233766233766,0,-0.834656949764867,1.13808279466374
"NN_ 9 _ 7 _KMeansClustering",0.515782828282828,0.513761467889908,0.51741861793261,0,-1.10223747607419,1.37021334685776
"NN_ 9 _ 8 _KMeansClustering",0.515782828282828,0.512073863636364,0.51875,0,-1.4270969587966,1.63105143721636
"NN_ 9 _ 9 _KMeansClustering",0.515782828282828,0.513754646840149,0.517279210093253,0,-1.10355051062708,1.34290122099281
"NN_ 9 _ 10 _KMeansClustering",0.515782828282828,0.507042253521127,0.522883295194508,0,-2.39566897789616,2.44082712207079
"NN_ 10 _ 1 _KMeansClustering",0.515782828282828,0.51729212656365,0.514648977335544,0,-0.422594752958283,0.827598434119547
"NN_ 10 _ 2 _KMeansClustering",0.515782828282828,0.513941220798794,0.517110266159696,0,-1.06763550296592,1.30980252296613
"NN_ 10 _ 3 _KMeansClustering",0.515782828282828,0.510204081632653,0.519535374868004,0,-1.78702519034336,1.78491837429131
"NN_ 10 _ 4 _KMeansClustering",0.515782828282828,0.512396694214876,0.518648018648019,0,-1.36495290190517,1.61107173210049
"NN_ 10 _ 5 _KMeansClustering",0.515782828282828,0.515568428674873,0.515948517067711,0,-0.75440216772481,1.08219812446084
"NN_ 10 _ 6 _KMeansClustering",0.515782828282828,0.511159107271418,0.519392917369309,0,-1.6031852086982,1.75700877356348
"NN_ 10 _ 7 _KMeansClustering",0.515782828282828,0.50154990700558,0.530546623794212,0,-3.45293157025173,3.94219028948637
"NN_ 10 _ 8 _KMeansClustering",0.515782828282828,0.512630014858841,0.518111964873765,0,-1.3200392774297,1.50605060688742
"NN_ 10 _ 9 _KMeansClustering",0.515782828282828,0.515985130111524,0.515633571036753,0,-0.674188211830973,1.02049538465878
"NN_ 10 _ 10 _KMeansClustering",0.515782828282828,0.509236947791165,0.520020800832033,0,-1.97319596990222,1.88002073789457
