"DF.L1.C1","DF.L2.C1","DF.L2.C2","label"
-0.748426530824018,-0.798925413592055,-0.309364079859418,"1"
0.301865415573115,-0.853487440298681,-0.0435452090962847,"1"
-0.120645427007824,-0.833402136053684,-0.153487569147229,"1"
-0.943773253705831,-0.786967906984902,-0.355063724708726,"1"
-0.903072153982915,-0.789509854243043,-0.345672059624882,"1"
-0.909871457109338,-0.789087080446312,-0.34724587133957,"1"
-0.857985757907718,-0.792294401138051,-0.33518710927948,"1"
-0.922980649709662,-0.78826984950896,-0.350274691930288,"1"
-0.936624929860933,-0.787416297439312,-0.353419380175769,"1"
-0.890358548437943,-0.790298367321534,-0.34272406498963,"2"
-0.919074853645765,-0.788513629522876,-0.349373037372929,"1"
-0.871824099732493,-0.791443223532754,-0.338414240962075,"1"
-0.944247175553701,-0.786938150026613,-0.355172664508804,"1"
-0.286687381110609,-0.824844499787635,-0.195823663598728,"1"
-0.720996116679581,-0.800555933816219,-0.302824837440566,"1"
-0.794720911180766,-0.79614671956493,-0.320334064296497,"1"
-0.697131147168879,-0.801964941584451,-0.29711226113189,"1"
-0.977883036765026,-0.784816827664121,-0.362879734001988,"1"
-0.972690067808214,-0.785145542315947,-0.361693057677367,"1"
-0.946661406339544,-0.786786506672385,-0.355727470827206,"1"
-0.91782423203399,-0.788591634665977,-0.349084193965535,"1"
-0.933504750929344,-0.787611755012929,-0.352700952569911,"1"
-0.987011381171002,-0.784237931866131,-0.364962854711439,"1"
-0.977740092717328,-0.784825881931236,-0.362847084730244,"1"
-0.919043446149512,-0.788515588816321,-0.349365784314114,"1"
-0.973284371923812,-0.785107945292505,-0.361828925155479,"1"
-0.970227642191764,-0.785301259284561,-0.361129943902382,"1"
-0.500426880755231,-0.813244506547303,-0.24924542434348,"1"
-0.714307168606004,-0.800951751601976,-0.301225871127323,"1"
-0.374564092621525,-0.820156267536348,-0.217948312555752,"1"
-0.989384324808785,-0.784087221930276,-0.365503772110017,"2"
-0.615145076137935,-0.806738161942167,-0.277326623195863,"1"
-0.412730567378614,-0.818085070174405,-0.227489559309583,"1"
-0.546693759218759,-0.810644417399667,-0.260624363044084,"1"
-0.617105609308921,-0.806625228618248,-0.277802592135731,"1"
-0.624223591077638,-0.806214713358442,-0.279529514307788,"1"
0.563512853380427,-0.864782971612337,0.0252457314231939,"1"
-0.357977087102333,-0.82104975996389,-0.213788581369038,"1"
0.468819623738772,-0.860791421590693,0.000342946852226467,"1"
-0.535038491616122,-0.811302454041134,-0.257764525164299,"1"
-0.159695396145078,-0.83142438119544,-0.163501165631037,"1"
-0.978488861331218,-0.784778450206717,-0.363018098050342,"1"
-0.906536837298167,-0.789294517252897,-0.346474261874326,"2"
-0.903427131098891,-0.789487800637695,-0.345754273209198,"1"
-0.879250075183112,-0.790985192266809,-0.340142724347346,"1"
-0.897352552940463,-0.78986491399949,-0.344346654727377,"2"
-0.979217869573137,-0.784732261394996,-0.36318457475162,"2"
-0.994443421296734,-0.783765600620676,-0.366656179441522,"1"
-0.922958742369087,-0.788271217544841,-0.350269636420074,"1"
-0.965290669959919,-0.785613160661069,-0.360000151043181,"1"
-0.892669294408799,-0.790155246263132,-0.343260378501853,"1"
-0.934842727998211,-0.787527959428592,-0.353009075525065,"1"
-0.870955895749369,-0.791496716072156,-0.338212006775163,"1"
-0.7592696053362,-0.798277620130171,-0.311940996443127,"1"
-0.824998142234832,-0.794311046347388,-0.327462632652251,"1"
-0.896237474006485,-0.789934073947185,-0.344088096976485,"1"
-0.879465729933481,-0.790971877498854,-0.340192886279412,"1"
-0.854874957330463,-0.792485318967285,-0.334460576335276,"1"
-0.853806623059142,-0.792550849584292,-0.334210973193205,"1"
-0.459590529141927,-0.815512758128321,-0.239144461323966,"1"
-0.888203671777452,-0.790431756613599,-0.342223726636603,"1"
-0.607462383649167,-0.807180143485143,-0.275460145149599,"1"
-0.90194659576915,-0.789579768134903,-0.345411342449349,"1"
-0.937096707204699,-0.787386730070788,-0.353527971630235,"1"
-0.857910703967195,-0.792299009218959,-0.335169584987552,"1"
-0.67138768921773,-0.803474916556609,-0.290926103933419,"1"
-0.79167471946738,-0.796330600345273,-0.319614829811445,"2"
0.808418754159008,-0.87461884877304,0.0894316796852195,"1"
0.0506715076166823,-0.841831596738947,-0.109209617839004,"1"
0.0933972241070626,-0.843872284214746,-0.0980918883723296,"1"
0.215282665823916,-0.849562031685346,-0.0662503467380759,"1"
-0.336996093456798,-0.822174208531732,-0.208515805769184,"1"
-0.743493184726418,-0.799219532481071,-0.308190134581849,"1"
0.933498401962706,-0.879380951210707,0.121962089658464,"1"
-0.970039899227431,-0.785313127554721,-0.361086999547676,"2"
0.737889747293308,-0.87185682419766,0.07099961026449,"1"
-0.00428119621916778,-0.839171078255037,-0.123468501331498,"1"
0.23891588331731,-0.850642979131845,-0.0600586691051503,"1"
0.790298426648176,-0.873914577548298,0.0847014416307115,"1"
0.617199388020211,-0.86699858670649,0.0393524944067875,"1"
0.185333515163136,-0.848181879679641,-0.0740893547987151,"1"
0.76666435377272,-0.872990462037687,0.0785261530607059,"1"
0.860005648789765,-0.87660379044956,0.102875451453859,"2"
-0.906675778199615,-0.789285877746317,-0.346506421272244,"1"
-0.906893314652953,-0.789272350449351,-0.346556770838055,"1"
-0.953177570072542,-0.786376736963482,-0.357223676852835,"2"
-0.94410565790087,-0.786947036125856,-0.355140135039707,"1"
-0.973797223656723,-0.785075496479576,-0.361946158955154,"1"
-0.942398005200689,-0.787054236390879,-0.354747543528145,"1"
-0.927074022201593,-0.788014096091532,-0.351218952363025,"1"
-0.553463100687963,-0.810261289248707,-0.262283254013755,"1"
-0.907113538609404,-0.789258655252174,-0.346607740401763,"1"
-0.958480187140984,-0.786042769747711,-0.358439883829013,"2"
-0.896781438395479,-0.789900338443375,-0.344214234667337,"1"
-0.903415453716637,-0.789488526148946,-0.345751568782813,"1"
-0.958524683751688,-0.786039965337344,-0.358450084422385,"1"
-0.765001022652778,-0.797934462337071,-0.313301250532065,"1"
-0.818110438435329,-0.794729921487655,-0.325844206120697,"1"
-0.661336704958253,-0.804061664452202,-0.288504198548154,"1"
-0.859064176580012,-0.792228179570792,-0.335438882886805,"1"
-0.887165829026107,-0.790495973515192,-0.341982681828658,"1"
-0.888343484519307,-0.790423104320586,-0.342256195489559,"1"
-0.946079269158965,-0.786823080733501,-0.355593714742947,"1"
-0.874569655542816,-0.791273982145826,-0.339053568355874,"1"
-0.923593466326675,-0.788231578122229,-0.350416102041599,"1"
-0.838480260747494,-0.793488941591118,-0.330625008897296,"1"
-0.641917032948283,-0.805190907730663,-0.283814344424732,"1"
-0.813549425393215,-0.79500688319911,-0.324771437093579,"1"
-0.299235487055361,-0.824181882909113,-0.198995691240197,"2"
-0.558821068046536,-0.809957549565894,-0.263595176798268,"1"
-0.650980533260955,-0.80466459444385,-0.286004887308744,"1"
-0.855796398519272,-0.792428783932364,-0.334675822036473,"1"
-0.788745716115432,-0.796507268452485,-0.318922917099038,"1"
-0.823537259533009,-0.794399952995045,-0.327119524334632,"1"
-0.466783491533589,-0.815115029457795,-0.240927486605151,"1"
-0.321513567173002,-0.822999881419951,-0.20461705474145,"1"
0.417076638557315,-0.858564525766459,-0.0132667729744671,"1"
0.195486628518712,-0.848651064615216,-0.0714328159106759,"1"
0.0418049653265579,-0.841405064464928,-0.111513469909304,"2"
-0.593499845174043,-0.807981090180691,-0.272062689965678,"1"
-0.909198464403368,-0.789128959830532,-0.347090183001408,"1"
-0.960051753868072,-0.785943701739016,-0.358800104623555,"1"
-0.954284068723666,-0.786307085841476,-0.357477563328645,"1"
-0.990580050338485,-0.784011244187225,-0.365776246730827,"1"
-0.965949843509262,-0.785571539358366,-0.360151059657757,"1"
-0.945249026878528,-0.786875232988979,-0.355402927019855,"2"
-0.943128780019239,-0.787008366805623,-0.354915564904319,"1"
-0.990891176528594,-0.783991471027369,-0.365847133987975,"1"
-0.960915928318476,-0.785889208935657,-0.358998137617625,"1"
-0.972322854716638,-0.785168770154983,-0.361609099178905,"1"
-0.291425772949277,-0.824594549367695,-0.197021964089537,"2"
-0.295161912863162,-0.824397240518149,-0.197966388577695,"1"
-0.105635836881883,-0.834156695310727,-0.149630133983814,"1"
-0.170771543027322,-0.830859541258846,-0.166335397358137,"1"
0.269912247479604,-0.852049881925488,-0.0519309808928978,"1"
-0.947823501017612,-0.786713478966673,-0.355994438595691,"1"
-0.932000076378598,-0.787705955830615,-0.352354349431653,"1"
-0.967882724942797,-0.785449453050276,-0.360593457300197,"1"
-0.700979348042747,-0.801738341271798,-0.29803486032166,"1"
-0.96344273668075,-0.785729804312066,-0.35957699199829,"1"
-0.939462832048075,-0.787238384938493,-0.354072451176076,"1"
-0.931317314405565,-0.787748688301419,-0.352197042701788,"1"
-0.987957696493683,-0.78417784076004,-0.365178598806216,"1"
-0.94385802604045,-0.786962584505197,-0.355083211923591,"2"
-0.897606488736669,-0.789849161465549,-0.344405528522534,"1"
-0.249771642969334,-0.826780804019887,-0.186468196828765,"1"
-0.706378786960549,-0.801420007688161,-0.299328427513682,"1"
-0.903083362727398,-0.789509157910375,-0.345674655679176,"1"
-0.85698607700505,-0.792355771052815,-0.334953675461879,"1"
-0.938730019177923,-0.787284338675329,-0.353903845970605,"1"
-0.83572849481557,-0.793656972977603,-0.329980152418485,"1"
-0.757112153879692,-0.798406659371152,-0.311428630323929,"1"
-0.881000143862666,-0.790877119418291,-0.340549739587878,"1"
-0.704328213911935,-0.801540956417683,-0.298837292033955,"1"
-0.922986789867371,-0.788269466076445,-0.350276108877712,"1"
-0.935483607225797,-0.787487811764366,-0.353156636593104,"1"
-0.958624241361737,-0.78603369057611,-0.358472907124778,"1"
-0.939545243264075,-0.787233216491867,-0.354091410866549,"1"
-0.948717854399783,-0.786657261511891,-0.356199858653036,"1"
-0.97302409322264,-0.785124411824422,-0.361769423150075,"1"
-0.935798647701405,-0.787468073709056,-0.353229167546546,"2"
-0.942948942372987,-0.787019655738909,-0.354874218357871,"1"
-0.943499733738726,-0.786985079294495,-0.355000846639458,"1"
-0.977818512716301,-0.784820914745129,-0.362864996435323,"1"
-0.911939630931264,-0.788958334994211,-0.347724197345493,"1"
-0.623470585101424,-0.806258178231879,-0.279346909793406,"1"
-0.865429940200835,-0.791836901980352,-0.336924092413755,"1"
-0.952191174045931,-0.786438811095858,-0.356997303448656,"1"
-0.821534203337307,-0.794521800017594,-0.326648938920596,"1"
-0.920307206039601,-0.788436739063173,-0.349657596385273,"1"
-0.881294235312164,-0.790858953401855,-0.340618124213998,"1"
-0.815651899027682,-0.794879254311921,-0.325266051569228,"1"
-0.818211456586682,-0.794723783539391,-0.325867956522801,"1"
-0.880778984408413,-0.790890779510357,-0.340498311351206,"1"
-0.947541203793395,-0.786731220956638,-0.35592959185422,"1"
