"DF.L1.C1","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","label"
0.964565949695036,-0.815603337425796,0.0783927748349056,-0.807544950735368,0.217668425702934,-0.349709145266237,"1"
0.612654179124019,-0.641330771755888,0.0758114984010091,-0.747396238904002,0.157152362352517,-0.316749975103628,"1"
0.90065481300267,-0.790950254850182,0.0779240630754934,-0.797666081152291,0.206787187599091,-0.343784404419262,"1"
0.973566945420528,-0.818857838475927,0.0784587835954007,-0.808901120900209,0.219196627221539,-0.350541333902406,"1"
0.977921842039387,-0.820413807348804,0.0784907199626955,-0.809554195700217,0.219935622232153,-0.350943768124611,"1"
0.983430267719619,-0.822364661047853,0.0785311154338515,-0.810377396633396,0.220870001373239,-0.351452613847588,"1"
0.943969912610233,-0.807958117661096,0.0782417313072892,-0.804409376740292,0.214167595112135,-0.347802859082857,"1"
0.973316832681831,-0.818768107644724,0.0784569494040788,-0.808863552406123,0.219154177220379,-0.350518217153049,"1"
0.987571373855124,-0.823818651971486,0.0785614836384576,-0.810994160858403,0.221572179074037,-0.351835015548567,"1"
0.966012912215086,-0.816130038355084,0.0784033861742324,-0.807763541616259,0.217914165223154,-0.349842961715865,"2"
0.954203196109846,-0.811791486724469,0.0783167787782593,-0.805972962009245,0.215907700886054,-0.348750371256722,"1"
0.95761236913324,-0.813053252553318,0.0783417803133846,-0.806491380980834,0.216487105587108,-0.349065872611134,"1"
0.988823924386483,-0.824256314857182,0.0785706690084168,-0.811180357858321,0.221784519878825,-0.351950656561456,"1"
0.858056026807022,-0.772939669649319,0.0776116327744253,-0.790833873817822,0.199505800953628,-0.339820084502181,"1"
0.915317953507813,-0.79685179534671,0.0780316027288246,-0.799971629599257,0.209288304096402,-0.345146161717819,"1"
0.929855212911244,-0.80255632798904,0.0781382173760642,-0.8022343036437,0.211765248658385,-0.346494795535043,"1"
0.929237344518684,-0.802316801673419,0.0781336860341886,-0.802138599981564,0.211660027665172,-0.346437504449759,"1"
0.991156638700914,-0.825068787659387,0.0785877755433718,-0.811526687923593,0.222179921251616,-0.352165994442722,"1"
0.991047511540826,-0.825030855050622,0.0785869752802792,-0.811510498887371,0.222161425531627,-0.352155921510627,"1"
0.986474606757235,-0.823434614206308,0.078553440669315,-0.810830986709842,0.221386230469301,-0.351733748332352,"1"
0.984568111954906,-0.822765247086172,0.0785394596649727,-0.810547043122109,0.221062960317538,-0.351557697362505,"1"
