"DF.L1.C1","DF.L1.C2","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","DF.L2.C7","DF.L2.C8","DF.L2.C9","DF.L2.C10","label"
0.999174777285522,0.915422257807795,-0.380208344429962,-0.70544983955406,-0.739276134745809,0.577425424400802,0.747700326572944,0.822944417065146,-0.0424250276925071,-0.219870850342968,-0.857647536330929,0.389806136749621,"1"
0.998962341765579,0.920982674699936,-0.378759277526235,-0.706705127813077,-0.739431698771402,0.57722964483342,0.749308585064288,0.823794976701386,-0.0423876668745611,-0.219726121933652,-0.858426267818152,0.391976709146226,"1"
0.998661486399867,0.907803168897764,-0.381883844600577,-0.703516525315614,-0.738781335638005,0.577434418869495,0.74541819676994,0.821629237676285,-0.0422850119472229,-0.219664546219894,-0.856451588825796,0.387000974491769,"1"
0.978386887003122,0.72171473498643,-0.41916473828545,-0.65072721839906,-0.723617530923409,0.57515595710168,0.683287206159323,0.785037533814144,-0.0370247129295458,-0.210714791441674,-0.822798139773846,0.318138584441025,"1"
0.98050767499385,0.710701090847131,-0.422549128173115,-0.648359448857095,-0.723917911113506,0.576094447173244,0.679570251605608,0.783383489019102,-0.0375030197018764,-0.211860989860837,-0.821216858661183,0.313175493214986,"1"
0.983335643012951,0.752850703854852,-0.41359677559896,-0.660494705532063,-0.726771788900302,0.576040820573901,0.694623179237267,0.791908737703701,-0.0382751185211003,-0.213000228430377,-0.829165335115124,0.329565569287055,"1"
0.965944191320583,0.653073248346953,-0.430770852200511,-0.627943364649942,-0.715980319192076,0.572702663671317,0.656935807388781,0.76883734942911,-0.0339031046114622,-0.204892245174193,-0.807695190114244,0.292982336885589,"1"
0.983034436505634,0.850166754651096,-0.390035588418166,-0.685404071137653,-0.730822333233922,0.573705804545238,0.726585438988148,0.809173528622819,-0.0384334913017221,-0.212183260326655,-0.845193605251758,0.368166986589754,"1"
0.976261938624895,0.684109727152757,-0.427256087363597,-0.639792421477729,-0.721195229239102,0.575332649751339,0.669524685748153,0.777313202394211,-0.0364304787921539,-0.209898542564038,-0.815561556336837,0.303313276742513,"1"
-0.999999999020418,-0.999947894623669,-0.0571544842636531,0.776159478598633,0.64509280620591,-0.237534270108617,-0.5808987673295,-0.708220111737903,0.412119774513099,0.674761820503225,0.724530668829108,0.0624659250606698,"3"
