"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L2.C1","DF.L2.C2","label"
0.995799307521891,-0.25825709929578,-0.0840021552539616,-0.746597276410628,-0.827204246937091,"1"
0.995279035407246,-0.112363380747721,-0.26430772436283,-0.632185137057638,-0.859853616992792,"1"
0.994779398739185,0.00190532340774197,-0.166157944856242,-0.597930930911093,-0.879523973648383,"1"
0.947991629156433,-0.284094245087314,-0.11388673912181,-0.734233122023262,-0.807148365972941,"1"
0.951951991088997,-0.17313611064759,0.00441902934855509,-0.715783989988424,-0.833804855467526,"1"
0.959036550426623,-0.209389098693907,0.0672018931195073,-0.747695320583909,-0.82676475961884,"1"
0.921787868516871,-0.270604638771937,-0.00584688872113959,-0.743816307363821,-0.801213328050861,"1"
0.962090347569965,0.00102286541382113,-0.279509278112854,-0.544496576387911,-0.873550254662501,"1"
0.943733214774968,-0.254140160425145,0.0895319576382868,-0.764698865263232,-0.811160126161227,"1"
-0.999999343670005,0.993712388102259,0.847149390709313,0.835891587877547,-0.299904672913536,"3"
0.964370641648919,0.0442956293355834,-0.305562274347826,-0.508350299286664,-0.881575736433265,"1"
0.956032343021651,-0.278081424975938,-0.106596789824767,-0.736168708594362,-0.811058118445204,"1"
0.964284729706741,-0.112797398225873,-0.0252545524718457,-0.685463039189099,-0.850252621711851,"1"
0.836273757495063,-0.0876745313599232,0.10906663931294,-0.656285505454323,-0.820365619740112,"1"
0.879597317274555,-0.0548783467661949,0.211452802751934,-0.685569419262601,-0.838803704641266,"1"
0.897530700331199,0.0147939760959322,-0.0424475338896042,-0.582208432686093,-0.859921421290328,"1"
0.831830652743438,-0.0657775923719841,0.0527199331632182,-0.626460176689964,-0.824942753259041,"1"
0.925773334504645,-0.303721905236706,-0.0230529230499525,-0.754511420722495,-0.793782101141815,"1"
0.936264693856993,-0.210346195311305,-0.01852704955873,-0.720839102219386,-0.820985465247032,"1"
0.933775066665984,-0.15083871723569,-0.0455778272629297,-0.686164141482421,-0.83444245535943,"1"
0.940367139535782,-0.117907805104039,-0.0908665638486765,-0.660540245194746,-0.843825369708727,"1"
0.882494361632975,-0.279826653771371,0.141637334212016,-0.76577354113907,-0.783928135892344,"1"
0.961476844558995,-0.179370892281082,-0.130682885800653,-0.688696424450336,-0.83632283407072,"1"
0.953496934902765,-0.125030320877214,-0.100496884433879,-0.667013120545305,-0.845733495874771,"1"
0.917515285992784,-0.303101257500434,0.0346768063854725,-0.763638222777334,-0.790514298520302,"1"
0.933608768361881,-0.285204128570148,-0.0418549968227653,-0.745767744094181,-0.801517739379781,"1"
0.905270868169676,-0.335351348979897,0.109045825603226,-0.786114670729327,-0.776149176330406,"1"
0.928282779635488,-0.0766253841676021,-0.0572117946193806,-0.643433981893918,-0.849139572642221,"1"
0.921071525132362,-0.184076889985792,-0.0164117135124757,-0.704077344016664,-0.822911291898637,"1"
0.942098305892982,0.074978719181378,-0.0351842953422081,-0.570801573434213,-0.880229096789011,"1"
-0.999999999497188,0.989942415162479,0.918888628614548,0.823888219928057,-0.295177916207429,"3"
0.90739130066242,-0.228480080333044,0.0331112320389528,-0.730272588447587,-0.807270126961914,"1"
0.91107685945512,-0.105664202702023,0.0885303506457089,-0.690380551945344,-0.837121878367585,"1"
0.906396485362133,-0.0399445937444269,0.129027094483681,-0.667293328302456,-0.849579284424223,"1"
0.929114865970464,-0.0713746383207621,-0.0249212793835818,-0.650258300842403,-0.850125715440318,"1"
0.945044230905043,-0.0215135011578547,-0.10627027981742,-0.606234394658737,-0.864358045455546,"1"
0.909135072549876,-0.213075497177099,-0.0515261690950075,-0.704029920533648,-0.812694188714278,"1"
0.889531162753677,-0.0969747341474934,0.038032790610852,-0.663969229233665,-0.833817570976415,"1"
0.949040056552923,-0.047958046548255,-0.164822051123903,-0.605033064681253,-0.860751570768356,"1"
0.904064433357182,-0.191903349538066,0.0776316365400026,-0.723860617014518,-0.815016439499321,"1"
0.898117165521787,-0.175838564391621,0.0976663780847922,-0.719492990296524,-0.817008896916341,"1"
0.954193019678448,-0.208770199194684,0.0055545006550991,-0.732116197641495,-0.826204059282893,"1"
-0.99999974004286,0.996214915456061,0.389190222601897,0.892528371770444,-0.315418723913759,"3"
