"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L1.C6","DF.L1.C7","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","DF.L2.C7","label"
-0.0652834783548628,-0.638695177536441,-0.988303098731342,-0.993057306869062,0.238210451284966,0.686706473262929,-0.957470864546169,0.589205706613641,-0.487697356445428,-0.149714043424014,0.629810248658029,0.964771196984743,-0.576545799213562,-0.633088969337203,"1"
0.081386724763632,-0.522772400153432,-0.988788589294332,-0.98398187317795,0.251504259591455,0.53022442754149,-0.90015118870388,0.561623984052992,-0.497806476169936,-0.250936560173561,0.506533765873971,0.956252105289867,-0.523754834691074,-0.665469486424983,"1"
0.245796801861149,-0.420305783687572,-0.979802774271609,-0.967969049346261,0.346015353466459,0.536051478749496,-0.836156001148094,0.497398263744583,-0.536020547690657,-0.328271629140038,0.357910169864051,0.950706923219046,-0.512040239227637,-0.726836160981594,"1"
-0.363833438115769,-0.588726143608954,-0.957872941516511,-0.972677241075858,-0.114217759435367,0.699749332995681,-0.942816698982086,0.753353894597436,-0.469710408625508,0.0837807396673206,0.791733856501269,0.952694617951907,-0.573902877982713,-0.396919475337596,"1"
-0.17934164721598,-0.50230408691434,-0.933521704183025,-0.96628400792327,-0.0965126387569402,0.567229813035086,-0.932675631418571,0.716975191431887,-0.474564837335811,-0.05881362945847,0.713875867263883,0.943898551685927,-0.553858763523582,-0.462842113014719,"1"
-0.25279285360543,-0.539803103928948,-0.941744906986344,-0.967729055378738,-0.11057069412478,0.631935309140545,-0.93286566459194,0.732408744561628,-0.477950666331737,0.00687941532840219,0.751128705055291,0.946902857243665,-0.567963802131634,-0.433821452893666,"1"
-0.369648830262295,-0.569234940434099,-0.930802661103346,-0.963515168078632,-0.055833520876631,0.599005050709459,-0.925166882676216,0.737326172617213,-0.419514009069435,0.0323935127482327,0.761443036143587,0.951883932025055,-0.515082649529554,-0.402681910285533,"1"
-0.252811578220326,-0.359150407289965,-0.971409117719068,-0.955419956495745,-0.29264414304556,0.610946975728348,-0.9112014259823,0.801674618409994,-0.520450405812744,0.0412507237691169,0.764333803841159,0.932142564594148,-0.55951753211651,-0.372875297416424,"1"
-0.275879752932046,-0.562734040056066,-0.930057583800954,-0.957669491044323,-0.0379382854835468,0.696127282618741,-0.893876075612449,0.713431091053951,-0.479563888789676,0.0369144748253698,0.747412745866803,0.948655877123922,-0.564895622556171,-0.448572095504991,"1"
0.99836109011606,0.999390639364995,0.999999972826948,0.99999999996504,-0.929060635337952,-0.999999758450137,0.99996909969869,-0.461376088404291,0.289656881795505,-0.621176960737471,-0.716262704636093,-0.987756813254818,0.0168416349300117,0.362730617557219,"3"
