"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L1.C6","DF.L1.C7","DF.L1.C8","DF.L1.C9","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","DF.L2.C7","DF.L2.C8","label"
0.617849362302812,0.348979144762573,-0.821684698463176,-0.275259325193949,-0.818625122840845,0.782241040259103,-0.0851765709003065,0.522881642230918,-0.840872492178719,0.504172056249078,-0.469973288510924,-0.34809887789954,0.744579707802573,0.851660781733004,-0.95030451742096,-0.717714060114421,0.340851338729125,"1"
0.60799486096751,0.385848007157483,-0.849104051937125,-0.00745686798183254,-0.7635337598928,0.635754395475238,0.23091391463382,0.548236019764685,-0.794401880029306,0.500646701016968,-0.564297974237036,-0.539316659496863,0.663671839779199,0.805245867370823,-0.901754199359212,-0.67799302562231,0.213775774551665,"1"
0.601117516602302,0.332809930782044,-0.799090230644528,0.186355655378776,-0.687629203717818,0.665080254800346,0.412483956324789,0.567303816659236,-0.670223691453528,0.437211333556271,-0.66479792994085,-0.644818225316523,0.611637583395547,0.770904698511144,-0.851260422962304,-0.645311061971583,0.124858904249264,"1"
0.24967644489597,0.116649756506102,-0.726068290826571,-0.336616453757541,-0.834608927813129,0.736456777836402,-0.380091907287496,0.238812346263461,-0.755864324367478,0.656673247807154,-0.63357424477443,-0.302573953240916,0.850014043117419,0.844361709238359,-0.942789200642381,-0.763951409504014,0.18801203397241,"1"
0.265318752920486,0.0610030498306384,-0.668319790777432,-0.297768898134171,-0.788756568748918,0.634564804844879,-0.349336299592049,0.301463948491449,-0.643993669539852,0.549252758523341,-0.589663998576886,-0.321372198912517,0.769905197068242,0.816806828359654,-0.911973418664885,-0.688008599362242,0.233267139706249,"1"
0.271390635944856,0.127827129225062,-0.646121554961189,-0.260642315911261,-0.818594180399907,0.694552047563448,-0.299994488266165,0.38137558016502,-0.675303313703516,0.551794067701645,-0.603739507626314,-0.345494129437568,0.773077933020197,0.82243745663045,-0.91901258896483,-0.702363661356566,0.268399366050025,"1"
0.155589433062658,0.0131835737229276,-0.658964503694364,-0.29958976579384,-0.775992840911339,0.639876864370662,-0.350414504887952,0.218641079785455,-0.674000435737028,0.629817179809694,-0.663746025292481,-0.339225644489125,0.824313292195685,0.805629010428973,-0.913106914134801,-0.73578079744895,0.161322774624266,"1"
0.248478446731967,0.348811625420361,-0.799955483038381,-0.141412429705792,-0.89393603032071,0.671829919346564,-0.201105425211255,0.415211200733269,-0.822801486078423,0.673527402508336,-0.635229925181211,-0.428508121599468,0.802503497250476,0.842473540382368,-0.931838948196247,-0.736066770381318,0.19803949622162,"1"
0.232513128214779,0.0493320679106981,-0.61873705513305,-0.22303196880729,-0.791981515984562,0.735763041491375,-0.143438930736866,0.435898373880952,-0.69376287257162,0.573987856911515,-0.698029256704336,-0.438014863622932,0.799305831765277,0.804169532224883,-0.907325340681888,-0.752342469051441,0.270840345917952,"1"
-0.990100922630275,-0.998362134713981,0.998985608244472,0.999974210929449,0.998200074240272,-0.999999963383907,0.667463223692775,-0.99998821228468,0.99991586673608,-0.467942056499732,-0.788514544907059,-0.600918868738403,-0.653076629133451,-0.956691718766989,0.978494623892194,0.719429013844859,-0.859097753605904,"3"
0.192214489546427,0.352367252671694,-0.822596722530546,-0.0499614511715383,-0.915022057635118,0.591889610465818,-0.206293523972867,0.323876387317972,-0.863518427926103,0.72535229865069,-0.675988816324797,-0.491932393217876,0.82978258192795,0.845832068452386,-0.922683298907604,-0.750012180747397,0.0912144900501261,"1"
