"DF.L1.C1","label"
-0.0301762636846694,"1"
-0.212535529562991,"1"
-0.497304531193133,"1"
-0.410238615996018,"1"
-0.390018672024278,"1"
-0.356759914532474,"1"
-0.431763947726919,"1"
-0.343611071720554,"1"
-0.391763354397821,"1"
-0.999999866981367,"3"
-0.349905544974018,"1"
-0.341929954400156,"1"
-0.338424858498563,"1"
-0.359403270403677,"1"
-0.414260138942493,"1"
-0.446856267342725,"1"
-0.4233304466994,"1"
-0.434088434967443,"1"
-0.395143499932761,"1"
-0.351637263567521,"1"
-0.34697163021286,"1"
-0.39422827953363,"1"
-0.359539841447203,"1"
-0.327313628026905,"1"
-0.417774105428314,"1"
-0.428679492532927,"1"
-0.462342778174383,"1"
-0.249329769448225,"1"
-0.310278933883734,"1"
-0.1171688855407,"1"
-0.999996635622695,"3"
-0.321519744167113,"1"
-0.19321924863659,"1"
-0.229587780156829,"1"
-0.24523501258191,"1"
-0.219333531314325,"1"
-0.118288890185617,"1"
-0.290407470931486,"1"
-0.0178658947236747,"1"
-0.24645881056766,"1"
-0.196679778516648,"1"
-0.377667066432503,"1"
-0.999999918126664,"3"
-0.356834197167537,"1"
-0.368935745565803,"1"
-0.999999708098093,"3"
-0.999514812690173,"3"
-0.434117558305142,"1"
-0.427624387578592,"1"
-0.310351305137473,"1"
-0.341024633534624,"1"
-0.315333932150253,"1"
-0.352628551524705,"1"
-0.323444602986934,"1"
-0.370973184857401,"1"
-0.41536835359988,"1"
-0.409117617976345,"1"
-0.289413639856739,"1"
-0.403521833929888,"1"
-0.131034725664384,"1"
-0.337655606905275,"1"
-0.265469570042525,"1"
-0.308409263572161,"1"
-0.349743662042617,"1"
-0.355609910549131,"1"
-0.289217910734238,"1"
-0.99969235346076,"3"
-0.0240005256056925,"1"
-0.154043070626553,"1"
-0.193365698321444,"1"
-0.176517963861722,"1"
-0.177695342213081,"1"
-0.308172395218939,"1"
-0.127124214599803,"1"
-0.999990376733876,"3"
-0.15673166234706,"1"
-0.184296462161666,"1"
-0.219255364590643,"1"
-0.246976009460198,"1"
-0.19754591610771,"1"
-0.289273589403149,"1"
-0.0815949499664865,"1"
-0.897791868112096,"3"
-0.396804617286409,"1"
-0.331605680828648,"1"
-0.997982722419004,"3"
-0.436514079784421,"1"
-0.445407048243569,"1"
-0.383349377539669,"1"
-0.387332127710345,"1"
-0.302962221410653,"1"
-0.32557878478497,"1"
-0.999939941139582,"3"
