"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L1.C6","DF.L1.C7","DF.L1.C8","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","label"
0.998634415130834,-0.460217670200354,-0.218996812576614,-0.965854570641095,0.730221759394228,0.421667960350542,-0.461965867128781,0.389603548174156,-0.879959508586126,-0.64037100604806,-0.612117839831644,0.686144855176134,0.988691406192754,"1"
0.99837156892363,-0.330756277955596,-0.384887852913519,-0.929058498090664,0.705276152623996,0.216199880204092,-0.163050435847103,0.394252049604358,-0.837938215952626,-0.710348922733665,-0.512122508385235,0.54872034022407,0.986065698100404,"1"
0.997851341662239,-0.267655330379489,-0.302322682362608,-0.882148022224063,0.686515444790083,0.252778130974453,-0.027543742376468,0.390657483632293,-0.830075523582368,-0.698107949844786,-0.550402516611207,0.501110225264853,0.982294116060179,"1"
0.979613214674961,-0.543102671397421,-0.24400121103596,-0.925480344460911,0.22969323340487,0.484327104372845,-0.657862312423917,-0.0784901866686845,-0.650420237639846,-0.580201489195639,-0.597991653148693,0.820386312951951,0.970473783058298,"1"
0.979965562873621,-0.489989585805425,-0.137249872665896,-0.914467504307032,0.196674781272449,0.300017444412277,-0.640446665265704,-0.00604150178535257,-0.654870884825839,-0.53623451435322,-0.531882614360673,0.802577280063588,0.963931242066253,"1"
0.98351336027515,-0.497902997347242,-0.0869093741326383,-0.91478783986735,0.22697054390289,0.382702350244535,-0.607999293118169,0.082172049862278,-0.708189591033295,-0.535185424019323,-0.589616044091328,0.797902822266003,0.967415586859235,"1"
0.968224177913162,-0.550563168501251,-0.136871679547946,-0.907153183660109,0.23271673957022,0.349017439947008,-0.617368311402088,-0.0902691522963648,-0.650283540120025,-0.560309547067422,-0.534743994095243,0.814984257639235,0.962827769417474,"1"
0.98538372887402,-0.320843598265774,-0.397968744405941,-0.888649640183018,0.0422810290444648,0.365297428110403,-0.535623293788511,0.139367418054112,-0.56673980106549,-0.5741483622003,-0.580921181201004,0.740034816303082,0.96685194554057,"1"
0.976913149087523,-0.547665365605869,-0.0651526766915989,-0.900984454312866,0.243286130339321,0.48110278345826,-0.484661782045373,0.159533327555311,-0.74539817698013,-0.577415500148899,-0.639428276259488,0.789075541771626,0.968768405961875,"1"
-0.999999967438484,0.782521229199944,0.462451579764006,0.99999999068553,-0.999992892446732,-0.999998640604392,-0.0724567612932931,-0.999999862678503,0.962458929633919,0.832634044471566,0.898625980561473,-0.291923402723235,-0.995688199403345,"3"
0.98677824561531,-0.292582741119093,-0.414832832580498,-0.876694907964206,-0.00856126597498563,0.210243108823033,-0.531068992079823,0.0699002797738104,-0.487809050691161,-0.568144531577878,-0.493413680945647,0.733227214819764,0.959255356541779,"1"
