"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L1.C6","DF.L2.C1","label"
-0.677171964952164,0.157979511175758,0.999989781415299,0.999472061666815,-0.894632633702016,-0.999994346136686,0.952785808922036,"1"
-0.736123987021229,0.241034801821965,0.999977693709489,0.99973216610016,-0.867776349606705,-0.999991808468146,0.965267156783516,"1"
-0.868828560110527,0.436140210942883,0.999918855167797,0.99939990805591,-0.876390039323297,-0.999960318123109,0.985347304108544,"1"
-0.689579494151452,0.683716567535135,0.999366875815562,0.983963801263929,-0.964377332217062,-0.999544907161453,0.986718938384615,"1"
-0.643249924243646,0.459514050878879,0.999425187658031,0.980482010398095,-0.968352600577648,-0.999496336330657,0.975841233121013,"1"
-0.63163491891556,0.502288500927297,0.999641421999622,0.986129714212973,-0.967665550928812,-0.999646791610881,0.976753206013673,"1"
-0.686337529413927,0.474485363949623,0.999186239500752,0.979714964967089,-0.956628698084504,-0.999380817541011,0.979258583740917,"1"
-0.532167548347794,0.762080684606944,0.999426109408574,0.993715654008422,-0.967318370280229,-0.999682101401312,0.980514601540859,"1"
-0.671263536511331,0.695851822493359,0.999478980456442,0.954397780943383,-0.971091761199119,-0.999038506647066,0.986872982715289,"1"
-0.963095593902754,0.99998257717374,-1,-0.999999792714347,-0.999999667298751,0.999999999999998,0.999966101812564,"3"
-0.542345356871487,0.737437525553541,0.999495033803776,0.996715593105015,-0.967754477788857,-0.999816609791825,0.980164033918866,"1"
-0.649096214704278,0.365729547052614,0.99960025231198,0.993425888391243,-0.954201943214261,-0.99978759373606,0.970056899348096,"1"
-0.619019365897806,0.523348903565208,0.999617482253474,0.990216462588886,-0.964419841549948,-0.999691346596967,0.976468441347289,"1"
-0.55387660646883,0.751945491582196,0.99837856369582,0.895671883260102,-0.937353135287944,-0.996624678366067,0.98248200440567,"1"
-0.516903702017896,0.463258297426426,0.998002843373216,0.97515136380205,-0.942592589663542,-0.99737378868711,0.961454231114394,"1"
-0.7030337451404,0.599280030663868,0.99804909468112,0.977431362343207,-0.948522372545683,-0.998380946790974,0.984563894732843,"1"
-0.664328841827664,0.606409131652327,0.997238401704205,0.95707499258295,-0.927179137224442,-0.997365751622083,0.982269311631213,"1"
-0.740447358836204,0.663239876815973,0.999008696382392,0.975371495776091,-0.941861978523219,-0.999054361720005,0.987912549098596,"1"
-0.695078392015673,0.594469364661652,0.999255641801039,0.985328556951298,-0.933855460111689,-0.999443380684963,0.983296809667107,"1"
-0.648148530995809,0.614842427163763,0.999273680802115,0.989248568303125,-0.922797647969186,-0.99948454760278,0.980649607570352,"1"
-0.618231664686647,0.731055826603487,0.999151983799961,0.990609581411373,-0.938838587781848,-0.999407192581219,0.983610569327953,"1"
-0.698744621718415,0.550290760430873,0.998775217805317,0.967911566218348,-0.903349579347291,-0.998642512350001,0.981141407333322,"1"
-0.706321794588015,0.72320620122695,0.999537261808132,0.991708510517489,-0.940620595240387,-0.999685606418792,0.987698520797898,"1"
-0.632865694036362,0.702881408967176,0.999422074397072,0.991502585514813,-0.931895937728421,-0.999599390996652,0.983223266961751,"1"
-0.72716393557824,0.45865667926171,0.999097406895522,0.98070914137939,-0.918149248349632,-0.999129504080768,0.979733501916719,"1"
-0.73364440243355,0.628677770049515,0.999139779408692,0.981474259397839,-0.943925512782524,-0.999233723966679,0.986692014073524,"1"
-0.771847641940239,0.628137288574336,0.998776724178766,0.971081451120978,-0.931375967869091,-0.998731854790179,0.988137558817575,"1"
