"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L1.C6","DF.L1.C7","DF.L1.C8","DF.L1.C9","DF.L1.C10","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","DF.L2.C7","DF.L2.C8","DF.L2.C9","DF.L2.C10","label"
0.999994528454899,0.997868480493002,0.546398119384976,0.998727840539515,-0.922872956766258,0.969734692495197,0.313510827523206,-0.999102129407817,-0.940071189538471,-0.822493898578863,-0.516353470222408,0.376900390109342,-0.518152827878213,0.668845733330603,-0.265602889693104,0.455672546726684,0.633916780009285,0.655338937589768,-0.539662091212765,0.910135550913388,"1"
0.999999860354012,0.99991204930972,0.539099601689057,0.999998148849814,-0.80603244469403,0.287753414221162,0.901005874213499,-0.980878453081158,-0.893036914914681,-0.951088931027284,-0.402334132922388,0.167350174259852,-0.233255129865456,0.844495904092512,-0.422711273555108,0.142818066374798,0.330095244406898,0.20062233143157,-0.234622828356571,0.763596414537163,"1"
0.999999988059823,0.999955662778861,0.9511507363384,0.999999984837656,-0.869224874077772,0.217643078996265,0.777037811576615,-0.867049748537453,0.0136478319922919,-0.978158871321269,-0.520891261980429,-0.214293524629531,-0.237839446180171,0.868410432845617,-0.44570891200045,0.383813766073042,0.161391308210818,-0.020871875245396,-0.526374650502008,0.552058119614805,"1"
0.977678021017968,0.320298560974465,0.416372879391192,0.775993381813075,-0.96797498869509,0.876134823779901,-0.830580786817587,-0.999627516016569,-0.674253203354306,0.730089531648158,-0.354894237729787,0.729078217716515,-0.449596044482746,0.858412027201157,-0.0688304067578347,0.34076386135026,0.579671347593784,0.878891025725211,-0.953106225477982,0.808319452008998,"1"
0.960734125420532,0.322264511472609,0.714153247075064,-0.14412254838171,-0.967919010180621,0.649735601278906,-0.716974948535427,-0.999431755678424,-0.289237708664213,0.456461281492659,-0.1057561073793,0.714530150069261,-0.394365330694007,0.862519264862339,-0.220259705857444,0.324671799177928,0.518422048816634,0.872671835489825,-0.938992412678329,0.859391698064227,"1"
0.980448343945417,0.355091604150045,0.8553918394742,0.659025168638585,-0.981178043650927,0.813243067187324,-0.625119475044821,-0.999099249878252,-0.342493879878731,0.420194252615476,-0.487549093662001,0.591619643508126,-0.412492061692836,0.877004049212726,-0.269852644688456,0.519859187630207,0.573324778814521,0.852120857642773,-0.941532120829825,0.799659815718498,"1"
0.702739243830619,-0.337790335243054,0.593302271856595,0.0509982886740898,-0.931352989355373,0.471266616828979,-0.691367155044227,-0.999418444707153,-0.429029873944048,0.60125659627095,-0.248733622473815,0.626375451125422,-0.171078865010964,0.903989534591662,-0.0662603085330855,0.21635046322588,0.417789439256411,0.861092255336556,-0.906177076914992,0.8228577983498,"1"
0.994545498698663,0.938038942633723,0.094578325898638,0.975538816179586,-0.990607669955244,0.804166080415719,-0.635431102112745,-0.996786994502876,-0.922602776401161,0.379353520932086,-0.177748222119594,0.764593532357818,-0.571914676352745,0.796099905777111,0.0921594866463321,0.22983159355992,0.61591406727758,0.786444689827686,-0.930886897609091,0.830238180074148,"1"
0.916921649255963,0.0891839886655932,0.875669666032091,0.686858658674632,-0.971378078159097,0.925768464015734,-0.447661439956832,-0.998988170051592,-0.453732104009083,0.453341678198593,-0.527803844715767,0.512633860998639,-0.362077625066741,0.895438718907984,-0.354582967664747,0.50271052964049,0.580342403615627,0.871195402760062,-0.926092518315941,0.804937995183218,"1"
0.994441378447509,-0.655332346442404,0.966612543874921,0.140655248013041,0.525372472644905,0.985232316380449,-0.984559884074693,-0.999141920559652,-0.973701508802338,-0.912239661508551,-0.956357252347384,0.654586070679103,0.198723700290075,-0.766293369145874,0.13664670991852,0.853227036820954,0.538377673264593,0.916467792616267,0.512875367371636,0.967533567919389,"3"
