"DF.L1.C1","DF.L2.C1","DF.L2.C2","label"
-0.279486395917008,-0.569119079404621,-0.793058328203687,"1"
0.453217340657765,-0.971287052090061,-0.100571232755412,"1"
0.447493223480635,-0.970630487446887,-0.108133916690572,"1"
-0.424352891978979,-0.34160507570016,-0.85464256937194,"1"
-0.306362928374492,-0.531589923400101,-0.806005263444701,"1"
-0.39253315726346,-0.396656454997323,-0.842759819325817,"1"
-0.272239308829589,-0.578856998908042,-0.789438700300574,"1"
-0.283299752107774,-0.563929888582328,-0.794940763055995,"1"
-0.437351972817188,-0.318393674157414,-0.859254624501905,"1"
-0.992464087471653,0.654184086759469,-0.966218669070052,"3"
-0.283570378690605,-0.56355991432003,-0.795073777835949,"1"
-0.287646563614799,-0.557959993520145,-0.797068021566161,"1"
-0.431711736571648,-0.328513944622175,-0.857270324214995,"1"
0.167566711253611,-0.912473751504105,-0.448219462564833,"1"
-0.240392251659869,-0.619727808717512,-0.772863693454472,"1"
-0.16618509138236,-0.703033321696404,-0.72979023597265,"1"
-0.0734902981571932,-0.785293173289033,-0.666523597544779,"1"
-0.611811795947369,0.0197539001211411,-0.909309777552201,"1"
-0.575402582368328,-0.0531569269866679,-0.900506217611636,"1"
-0.459171152231699,-0.278571963875963,-0.866692933490295,"1"
-0.352015006955258,-0.462803156075089,-0.826344941312394,"1"
-0.471966813224765,-0.254754631437819,-0.870883625425337,"1"
-0.675244369655238,0.145827356255752,-0.922901559500851,"1"
-0.590288535742159,-0.0233715826038547,-0.904199418794042,"1"
-0.411065737473402,-0.364907635022909,-0.849784698296751,"1"
-0.584589674607249,-0.0347822399251931,-0.902801169627103,"1"
-0.597156684925152,-0.00961186940522718,-0.905859178753456,"1"
0.0766377778585552,-0.876366799617116,-0.539838802831661,"1"
-0.0735425493694817,-0.785253032848222,-0.666562383771591,"1"
0.102440907258984,-0.887832541448832,-0.514963750745747,"1"
-0.99564621041419,0.657816762144019,-0.966499838271575,"3"
-0.0448302398125289,-0.806336360790016,-0.644702016823068,"1"
