"DF.L1.C1","DF.L2.C1","label"
-0.899042120882805,0.96189553743364,"1"
0.184261792648305,-0.130777099851544,"1"
-0.135679743225749,0.453684449146479,"1"
-0.97711505475106,0.971715429411526,"1"
-0.933763542053376,0.966619249147614,"1"
-0.956993240762515,0.969453109559316,"1"
-0.937790511400778,0.967128393625601,"1"
-0.979331071609601,0.971954252615626,"1"
-0.973057939599422,0.971272983010524,"1"
-0.999337912036339,0.974022339889861,"3"
-0.985066285247128,0.972563153119357,"1"
-0.941321177355557,0.967568500923744,"1"
-0.983028743190877,0.97234833743485,"1"
-0.346169995482576,0.715222683302094,"1"
-0.914711909720002,0.964103478997932,"1"
-0.91487809465834,0.964126208851943,"1"
-0.84240398657756,0.952748904581685,"1"
-0.994058281278225,0.973491676337873,"1"
-0.994092119234849,0.973495111262524,"1"
-0.989238605251893,0.972997913709447,"1"
-0.980313346419021,0.972059476844239,"1"
-0.982224111329263,0.972263050032046,"1"
-0.998272163359493,0.973916071209898,"1"
-0.996132657017477,0.973701438614056,"1"
-0.966487834613195,0.970541977503177,"1"
-0.992177265478027,0.973300040231363,"1"
-0.992963584096596,0.973380315307448,"1"
-0.651177033574246,0.903264854068518,"1"
-0.794321553378943,0.943329567606323,"1"
-0.794256428494422,0.943315648062278,"1"
-0.99995153649981,0.974083332106943,"3"
-0.714171567977689,0.923442994900302,"1"
-0.757274413062931,0.934851861276948,"1"
-0.819357683319862,0.948441741753904,"1"
-0.778021758803147,0.939740225456385,"1"
-0.862904393917816,0.956283721888799,"1"
0.413425325365292,-0.51992144471958,"1"
-0.894321620780638,0.96120467049521,"1"
-0.157345805238095,0.486430577171705,"1"
-0.779107331259311,0.939985975513744,"1"
-0.386775398781255,0.75158676134226,"1"
-0.993168947031346,0.973401241517845,"1"
-0.999554829506332,0.974043916929323,"3"
-0.968656565684372,0.970785279364014,"1"
-0.952564584813581,0.968931758130226,"1"
-0.999684760198597,0.974056832819569,"3"
-0.999797470143651,0.974068031726777,"3"
-0.999095132219478,0.973998169299325,"1"
-0.96524136670149,0.970401238797431,"1"
-0.992980976463459,0.973382088195862,"1"
-0.955595465688308,0.969289497361672,"1"
-0.975218158229431,0.971509406751901,"1"
-0.931327240262809,0.966307463047897,"1"
-0.893000607061055,0.961009144971622,"1"
-0.902005130872854,0.962323009756648,"1"
-0.92706577093029,0.965755204846341,"1"
-0.936581947962909,0.966976397769857,"1"
-0.899228951141883,0.961922631286736,"1"
-0.899352394554803,0.961940522506087,"1"
-0.455517268897357,0.804058299767757,"1"
-0.927142913706068,0.965765280651622,"1"
-0.686702753355791,0.915195601098023,"1"
-0.948907115869896,0.968494597668706,"1"
-0.968104532410805,0.970723537278008,"1"
-0.921098368950319,0.964966894504535,"1"
-0.838999419626745,0.952135454245454,"1"
-0.998731569519205,0.97396193234092,"3"
0.461104945012533,-0.584161280347756,"1"
-0.423325011732493,0.780839520388178,"1"
-0.334995014588883,0.704465080155001,"1"
-0.2587110982712,0.621887822388341,"1"
-0.704733715862818,0.92070003712995,"1"
-0.949137516775184,0.968522314187162,"1"
0.926136440229181,-0.917211680007658,"1"
-0.999952840024675,0.974083461522408,"3"
0.604233914117436,-0.738196411188943,"1"
-0.45496265592387,0.803677526398284,"1"
0.127018721007708,-0.0204448955539165,"1"
0.612118444049144,-0.745080751567457,"1"
0.509170024563988,-0.642270413628087,"1"
0.0367909800528614,0.153422014109757,"1"
0.618925643192318,-0.750899523556337,"1"
-0.549731182795631,0.859861901419979,"3"
-0.98387284117167,0.972437530166806,"1"
-0.982803745165008,0.972324514720314,"1"
-0.999879734524847,0.974076202538157,"3"
-0.987611964326953,0.972829229902801,"1"
-0.996169932357874,0.97370519290359,"1"
-0.986101318539349,0.972671644342066,"1"
-0.981156971092,0.972149537715969,"1"
-0.851650902517108,0.954376590607813,"1"
