"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L1.C6","DF.L1.C7","DF.L2.C1","DF.L2.C2","label"
0.994892632805129,-0.182774006930871,-0.984337552820244,0.326825137822473,0.961035950379024,0.975905169170585,0.873993572076554,-0.955985112641714,-0.796693491900417,"1"
0.93871924815944,0.791916180819992,-0.98286307822121,0.963882422080394,0.986019393950102,0.19973619445731,0.999288924904262,-0.899822766449028,-0.31911985877475,"1"
0.952716394784777,0.948456185008481,-0.906001198350992,0.990565873004205,0.982793976861899,0.692049243891173,0.999996002064871,-0.814233820720993,-0.520021924064575,"1"
0.984169757177881,-0.932571499360737,-0.96819738855833,-0.336782647234852,-0.826695395390715,0.954479243187399,-0.813616530414145,-0.79231319339829,-0.934527123546778,"1"
0.99412622643034,-0.851480126088621,-0.729126086237363,-0.517896445629514,-0.759319318960076,0.840528744976968,-0.825721223360353,-0.757866896615828,-0.92697513263316,"1"
0.992232700330393,-0.892640002842971,-0.761286941359201,-0.131798186453557,-0.759131369644444,0.946921794155546,-0.509597773794033,-0.856701099822645,-0.912840699811156,"1"
0.977107977212026,-0.917429955315624,-0.882495219698292,-0.387518589185166,-0.744725657945892,0.821539495417442,-0.590769190873014,-0.820097971474469,-0.927232732121502,"1"
0.98350148173074,-0.778825161372608,-0.99092100357852,0.245359911415692,-0.95861317068623,0.804997122427717,-0.0491754994696689,-0.873870105886423,-0.906013334119824,"1"
0.994351047610533,-0.911857421605968,-0.867765151697128,-0.112993459371446,-0.771610195533136,0.973350149737364,0.201249620690234,-0.878064182550367,-0.941885380123413,"1"
-0.201985686536102,0.984154690096895,-0.771997192420901,-0.834103098773907,-0.911656450004148,0.998657084312992,-0.921043256180125,0.991628274370825,-0.896917365960466,"3"
0.985130255238361,-0.697114079929758,-0.995415834675206,0.236543246383829,-0.978510602944003,0.494524784388623,0.38110617918394,-0.887540280715838,-0.89646193779409,"1"
0.9805185339065,-0.919493001147778,-0.932221051751583,-0.272766084178274,-0.63690626551377,0.923690864187123,-0.895041756854141,-0.839605001028014,-0.911157259270398,"1"
0.996560807093196,-0.814860490082257,-0.930205447644414,-0.193016232141688,-0.867963871248933,0.945630975351609,0.0218500933554088,-0.811234405031936,-0.947921901204524,"1"
0.842009292607351,-0.842298235178321,0.0365997868555442,-0.50003950121961,-0.603613020177506,0.113970475782568,-0.880008512659568,-0.863899855228911,-0.667196965899906,"1"
0.98618220604905,-0.615355406188261,0.456688889505595,0.0749130703807496,-0.957888560797927,0.904927966553154,-0.796892336689214,-0.809264026866585,-0.7558163645403,"1"
0.963850295494975,-0.76879466232921,-0.571655343174893,-0.459465072160067,-0.933753450883695,0.608023515006247,-0.724584959607389,-0.728266624863017,-0.904316766777466,"1"
0.90947026224592,-0.883357274236315,-0.160266268219803,-0.673569208879583,-0.890721801179332,0.63744298176448,-0.953574779538799,-0.717679458567446,-0.883120999744267,"1"
0.977178228874192,-0.967286235532702,-0.953665495806443,-0.350757151219366,-0.857084675344399,0.996252208263632,-0.662327224720794,-0.795517178135027,-0.942476909039526,"1"
0.982935968542039,-0.93713448443558,-0.96257041829104,-0.321522958714235,-0.876446261775892,0.989971918765087,-0.231436138735113,-0.806330073070418,-0.952098872737729,"1"
0.970035497348993,-0.916072215590788,-0.961941664413989,-0.0835740969728311,-0.879724629977128,0.980202100873185,-0.0378891904107528,-0.850949581703566,-0.940922782383127,"1"
0.965033621677111,-0.904231580785378,-0.948185020582268,0.116374308357266,-0.910665750114059,0.965660536064214,-0.254478068731874,-0.870864414691247,-0.917451515901477,"1"
0.948624893304553,-0.964844391513328,-0.742530905438993,-0.370833711275924,-0.74766882358989,0.991483646282629,-0.486333607177356,-0.819674250740578,-0.932814896261067,"1"
0.990770123341816,-0.922835779487327,-0.994000546141309,-0.220995082353115,-0.910958218164887,0.996461223406123,0.189417128120571,-0.832343882090012,-0.958196861524677,"1"
0.982381473820959,-0.924219423296851,-0.980675354513487,-0.179093731864433,-0.917946394839042,0.992878375545658,-0.194062567741104,-0.824595754133195,-0.946902387282231,"1"
0.949388691794781,-0.943920152007747,-0.845893362489665,0.0755325626563196,-0.580969094765805,0.980980023938029,0.0369217974029271,-0.917690881739506,-0.905780576171341,"1"
0.975902308830037,-0.958593652091042,-0.952426629578606,-0.164258857038514,-0.853843553697728,0.9937762391542,-0.474404733999851,-0.84032761463841,-0.93392299376693,"1"
0.976015027968832,-0.967033388482855,-0.888145833147184,-0.183044115225675,-0.842047273899973,0.994791183302242,0.171056365398024,-0.864154894762163,-0.949024586822619,"1"
0.820977622610382,-0.845188067075505,-0.683414251955582,0.104681482302693,-0.503715893947401,0.606529419105026,-0.75995882792139,-0.899340117471803,-0.739197309615874,"1"
0.908208279491275,-0.903076276361199,-0.702638766414481,-0.260489617280257,-0.405963468267052,0.856528294544249,-0.875498882316448,-0.869089449860161,-0.85928911882097,"1"
0.808187401424313,-0.710464967099035,-0.823245044355393,0.137162858475788,-0.410497351576371,0.751401501378012,-0.0324679940488104,-0.882044212739029,-0.831798123478607,"1"
0.581620999563557,0.961200395950808,-0.973530334054358,-0.777748614146363,-0.987658466071209,0.999742514390828,0.213958071590922,0.946795521609694,-0.975280222681518,"3"
0.85959209274039,-0.930143374529245,-0.473396654960383,-0.0172347288860257,-0.337569056502196,0.890977753151873,-0.833077215644974,-0.910878420116685,-0.777786293782585,"1"
0.717890069046856,-0.896342443496766,-0.464959186819054,0.317997003992257,-0.352977254934811,0.907351550927346,-0.15863507972242,-0.926129115276712,-0.732980093311743,"1"
0.893419353503742,-0.848733576161447,-0.149758087141426,-0.367501585636231,-0.436141131834165,0.880094324089449,-0.577755128629151,-0.852197826308184,-0.847568396556769,"1"
0.847901754577478,-0.849205968279735,-0.693328880487073,-0.130222680630648,-0.366410706654291,0.803007598098549,-0.712595965269356,-0.875153512856239,-0.825799872206012,"1"
0.924190149040256,-0.795996854251061,-0.903987994569362,0.436088269928743,-0.797483576232595,0.613668056587173,0.219798870153334,-0.928179629159923,-0.841066942217852,"1"
0.505285666872138,-0.830781867184856,-0.702889105257737,0.24107854732224,0.666283980824601,0.269155808550734,-0.770538472413543,-0.966000558412156,-0.0873309403004616,"1"
0.518204753470847,-0.877851954272388,-0.902738394523276,0.0579428102314583,-0.755596256078534,0.0054613213414344,0.65065760833292,-0.881250637538184,-0.755437789343213,"1"
0.527715184033133,-0.647263141262876,-0.946854821825327,0.615491926722944,0.468485195501349,0.296420809687469,0.493156323244127,-0.968843485375867,-0.33961556763457,"1"
0.823751736478167,-0.926280256396207,-0.531756720936666,0.220543490629572,-0.419852480224489,0.927335047532847,-0.497935529348861,-0.923962056310455,-0.772968102267704,"1"
0.640103398298314,-0.90599394528486,-0.19725612996325,0.16076185526085,0.0122505315372341,0.790213411911971,-0.735502894261177,-0.933838226759992,-0.507702957515664,"1"
