"DF.L1.C1","DF.L1.C2","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","label"
-0.94521572140295,0.988743278065742,0.300790438918621,0.887349999254583,-0.866424728037982,0.184875567119392,1
0.156835469550294,0.460411836192762,-0.0844352606196901,0.40117426142565,-0.532964717263804,0.637162253357004,1
-0.103434625830516,0.942816809768546,0.0517437119683167,0.646570478040849,-0.709390724087338,0.323663376945463,1
-0.998358556817727,0.999499356535712,0.316418181126911,0.896123051139793,-0.873703072446754,0.16974223539668,1
-0.99639171947875,0.997825031012881,0.315704199642103,0.895731292903793,-0.873338310916764,0.171287349194603,1
-0.996681712333754,0.998526920404794,0.315858899038994,0.895817261074551,-0.873428551402436,0.170708929594306,1
-0.996019140052958,0.996602946713082,0.31547063185627,0.89560091514153,-0.873196623487849,0.172277050752724,1
-0.996939688958833,0.999337906501008,0.316016762220513,0.89590520227964,-0.873523692351842,0.170050440731942,1
-0.998131313742953,0.999549541795557,0.3163621519743,0.896092876879935,-0.873680430029751,0.169732974746382,1
-0.997319162077706,0.997959494819244,0.315969798551263,0.895875750243562,-0.873458063342592,0.171063687560247,1
-0.997167540568573,0.999198033861966,0.316063232976464,0.895929981362291,-0.873539265215656,0.170128757137958,1
-0.996341021801378,0.997250906979542,0.315628131649573,0.895688334919293,-0.873286391057972,0.171736254033602,1
-0.998556134628795,0.999566323595434,0.316478897870692,0.896156092746892,-0.8737315823925,0.169665018758862,1
-0.886680307776872,0.944579856201001,0.279799674863293,0.874525684332105,-0.855054680793922,0.225923446939252,1
-0.988800932995224,0.996513232207567,0.313505534667393,0.894528618230748,-0.872337170259646,0.173279945956814,1
-0.991890203505349,0.995027019242675,0.314181168859584,0.894893857802586,-0.872583021180491,0.174024623581646,1
-0.987194641497409,0.992382993865726,0.312620643312136,0.89403079976217,-0.871812927693939,0.176665859139545,1
-0.999638341474665,0.999909450498527,0.316808850923578,0.896335441636523,-0.873885748216008,0.16926029411676,1
-0.999531614661042,0.999872315574619,0.316775956859195,0.896317564617009,-0.873870289501831,0.169302751779894,1
-0.998864513289405,0.999682510637339,0.316574925081309,0.896208362326961,-0.873776999196398,0.169535501364172,1
-0.997075051030434,0.999331511069977,0.316052696594445,0.895924658435392,-0.873539073740146,0.170037842312741,1
-0.998681918772497,0.99944145651223,0.316499372091301,0.896166806460892,-0.873736363877724,0.169744995666292,1
-0.999778394552456,0.999976077150526,0.31685395701917,0.896359996816035,-0.873907457641327,0.16919077825451,1
