"DF.L1.C1","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","label"
0.994383717515155,-0.834484431385463,-0.489767029339601,-0.534141438380293,-0.556392000460034,-0.47879757836368,0.209265988443131,1
-0.0115038898903883,-0.189431644544402,-0.491218522044403,0.255506424905491,-0.0683097123305545,-0.0493851672563872,-0.241226840196334,1
0.886007456968159,-0.7982615888529,-0.489923546744673,-0.464915311011268,-0.513407114250595,-0.43865903367929,0.161577524320161,1
0.999864980483955,-0.836149491561584,-0.489759112440015,-0.537471529359278,-0.558492202039761,-0.480777512521167,0.211653667098803,1
0.999758398115813,-0.836117260631449,-0.489759266383756,-0.537406935165375,-0.558451431943835,-0.480739059584472,0.211607263008269,1
0.999841468643815,-0.836142381984377,-0.489759146399674,-0.537457280561802,-0.558483208476632,-0.480769030045374,0.211643430538716,1
0.999162836801953,-0.835937054232314,-0.489760126590545,-0.537045879444527,-0.558223567005616,-0.480524158104092,0.211347948520831,1
0.999872882416935,-0.836151880907513,-0.489759101026746,-0.537476318070923,-0.558495224595187,-0.480780363318035,0.211657107423599,1
0.999960224467608,-0.8361782888346,-0.489758974873003,-0.537529246594822,-0.558528632671846,-0.480811873215031,0.21169513384856,1
0.999596805257733,-0.836068383297535,-0.489759499782613,-0.537308989861467,-0.558389613981398,-0.480680756358942,0.211536906497189,1
0.999715757733268,-0.83610436439386,-0.489759327971983,-0.537381091215492,-0.558435120305668,-0.480723675209419,0.211588697867654,1
0.999323747238808,-0.835985760689008,-0.489759894177541,-0.537143449910183,-0.558285140503399,-0.48058222648426,0.211418013776111,1
0.999962254010037,-0.836178902422015,-0.489758971941604,-0.537530476429553,-0.558529408944296,-0.480812605386796,0.211696017450179,1
0.974997714495348,-0.828471346190314,-0.489795028997415,-0.522230152032007,-0.548906848637938,-0.47175587914819,0.20080143825102,1
