"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","label"
-0.920830781800113,0.948940041080567,0.24696558653814,-0.710219113518271,-0.966071141538069,0.998341945787926,-0.503892796371286,0.989699699366711,0.454305969539589,-0.872468099062658,1
-0.29146853133628,0.735283372762383,-0.597353996689958,0.996629943451975,-0.155155911633762,0.851233795331064,-0.479002260081279,0.379814902560467,0.0418674901528917,-0.170139094339966,1
-0.221847736911954,0.983322522543861,0.0719811275105283,0.999943315808718,-0.296207329793245,0.738880116163062,-0.737305481147315,0.35349386906568,-0.0854039848920956,-0.499369875892594,1
-0.986123969396148,0.971811473775349,0.924159807556309,-0.999401734374662,-0.997872040530394,0.998204198058335,-0.621449331780863,0.989646860420042,0.456820027631988,-0.923992012758225,1
-0.827938864973204,0.962070873834493,0.954949020941476,-0.999745569805513,-0.993482514241523,0.997809066011772,-0.614263261945791,0.989713905161507,0.437094263382278,-0.911782052771323,1
-0.929535753453489,0.968425301974846,0.939257647772745,-0.999585143779092,-0.995015226644777,0.998058778990738,-0.619559322987496,0.989598528105521,0.449476028122762,-0.919937305961775,1
-0.952154842398466,0.934492899860896,0.865495665074029,-0.99906804496808,-0.991803383398992,0.998238220268481,-0.594674059747393,0.989909518653606,0.460430995841299,-0.914209332774951,1
-0.964247744327095,0.984281772931945,0.952134094528793,-0.993702336259264,-0.998318093683503,0.998085735533496,-0.631091478727927,0.989435864590303,0.449708296125845,-0.924844725735488,1
-0.971640606516148,0.982448938588628,0.950759677595962,-0.99967210460276,-0.997022614794055,0.998122969055966,-0.628696129421322,0.989489188073379,0.45243898275402,-0.925164299200409,1
-0.945307364743477,0.950870654367595,0.922609222990774,-0.999688837004123,-0.995316925932272,0.998118404725837,-0.613550533647399,0.989611725709735,0.452846626047387,-0.918295517959574,1
-0.963334675469286,0.984007077033838,0.952604260657434,-0.98379276754347,-0.999032068699665,0.998042253512031,-0.634457903515218,0.989264070577317,0.446663862868789,-0.924593977448882,1
-0.964166479394924,0.92860939514736,0.860855900623685,-0.999413862258037,-0.994041663034439,0.998272294374846,-0.594012676957228,0.989948052256346,0.461971004089435,-0.914311301036069,1
-0.952166337394257,0.989562248448976,0.967591612336687,-0.999248438412514,-0.998640681467267,0.998054070026887,-0.633378930579817,0.989475995487334,0.448187420315008,-0.925306768288733,1
-0.232030912823586,0.714378490161702,0.579330631400431,-0.992314901269985,-0.878641754354621,0.996842981957618,-0.341793384486089,0.990351747986905,0.428055928457133,-0.726341344599021,1
-0.816807638069183,0.958180470037183,0.959571232832209,-0.986865663923157,-0.996384745891103,0.997715219318905,-0.619167362471584,0.989528159159495,0.43125058742827,-0.910374712131165,1
-0.703119497782124,0.958328581217213,0.909510569376638,-0.992963087625933,-0.997155625154544,0.997638117512576,-0.594636050970129,0.990468163183404,0.427190585357596,-0.898282755237826,1
-0.689393049232619,0.921590260937317,0.797221369892257,-0.997079765194716,-0.992601822970515,0.997898832034245,-0.551258689939896,0.991196263237345,0.440820256025367,-0.884888296497044,1
-0.997386107617025,0.992850029643022,0.930532960204453,-0.999272972020365,-0.999557096284419,0.998224485506065,-0.627921116515642,0.989713967718146,0.457315096741116,-0.927481657943147,1
-0.995001182596981,0.994362696841102,0.921802830122233,-0.998386035669109,-0.999543683014251,0.99823675778989,-0.625954985003204,0.989793129185864,0.457906589804454,-0.927161043274494,1
-0.991128235776752,0.99078266725696,0.873893813691103,-0.994667386389612,-0.99919255031094,0.99831530721212,-0.613356890191757,0.990137467894359,0.462244853109792,-0.924656944898246,1
-0.977923160676034,0.983216639372803,0.901958091253384,-0.990660066793837,-0.998165112290671,0.998211236913764,-0.619631828596515,0.989787405075369,0.45637197507312,-0.923755537946575,1
-0.990084587299107,0.984170740656389,0.788449400741425,-0.998167342795502,-0.998090200266551,0.99848871349804,-0.58688572788381,0.990860504114863,0.473359161550862,-0.920587736732887,1
-0.998511375021583,0.998024503120103,0.954668290790645,-0.997051707119558,-0.999888627830558,0.998167486185346,-0.63591749233208,0.989483821894501,0.453920091952298,-0.928950388600899,1
-0.995369288728268,0.996195342538795,0.945020341995955,-0.995655177887835,-0.999670948567851,0.998176491463476,-0.633264706445539,0.989541489212371,0.454373282830658,-0.928165178536308,1
-0.985279895983119,0.963363274264465,0.771063428557605,-0.992441422402075,-0.995892099145183,0.998480863026934,-0.579155764141203,0.990763483136302,0.473280606084796,-0.916705089126253,1
-0.996139310809059,0.989826341482308,0.925548281802105,-0.998542223227159,-0.999407404740865,0.9982284196322,-0.626220998007404,0.989729130895885,0.45755505622486,-0.926858368675449,1
-0.996104576372642,0.990326817161033,0.900574353616843,-0.99762440886959,-0.999354268482772,0.998278740411697,-0.619941389372958,0.989939816008525,0.460331436498424,-0.925992318436456,1
-0.618746927098279,0.786793276158349,0.440788912243118,-0.969279470135643,-0.890944675698662,0.998144800221973,-0.36461967641733,0.99064847566767,0.477992950981769,-0.811366199466174,1
-0.833476840850737,0.881183086349749,0.629188371505743,-0.995573003900398,-0.944468777127684,0.998383051731679,-0.485506547494729,0.990723293124517,0.480037542263541,-0.880480616599507,1
-0.641946881519958,0.930612622973958,0.13723316896335,-0.830052420582559,-0.914563805682322,0.99842702089391,-0.359659562979877,0.991993278562325,0.477835451568854,-0.823515529887907,1
-0.996197227578517,0.997495609157084,0.98721811216566,-0.999718595324879,-0.999832801574452,0.998098954304515,-0.643170054023793,0.989229615033984,0.450461194012286,-0.929916181333419,1
-0.831890743710201,0.796835963832825,0.516920349538246,-0.994997734621342,-0.917359056300115,0.998495191264541,-0.417969250429694,0.990533516135012,0.494437686919444,-0.854575085417345,1
-0.822105907869848,0.840228444717417,0.0389830336468823,-0.948277800513019,-0.929055026689551,0.99909318185038,-0.271527248396746,0.993658608472705,0.534638429564526,-0.826908747897371,1
-0.642480292452798,0.926000064212512,0.40904278044025,-0.987596013436614,-0.962480925091168,0.998549850567397,-0.410204886504185,0.993240163268661,0.483574777004451,-0.853735506179918,1
-0.706820889927547,0.895975115362792,0.446612139151434,-0.970060401115579,-0.903391849066764,0.998370396231175,-0.405645899701448,0.991204341331497,0.486630790259285,-0.852808040712352,1
-0.806000194950844,0.888235893820315,0.666554654734436,-0.958766904096476,-0.975610350576912,0.998199706501411,-0.523140661556641,0.990705801553167,0.45934896144597,-0.881800415874096,1
-0.337105294782696,-0.0743478531385025,-0.722561747292718,-0.93581102090929,-0.00454334756524366,0.997134076287633,0.682970363086511,0.943217925535468,0.639240427518076,0.252833372215092,1
-0.972781088087805,0.788303480375475,0.914192304541356,0.320334612105296,-0.39034670484092,0.918910011745938,-0.780420061371105,0.509081659190171,0.105890795120197,-0.797998696714663,1
-0.542862023431282,0.367158538829312,-0.774904295731288,-0.294442220123942,-0.507078064393616,0.996105985855968,0.112048861138426,0.963075069675426,0.46432760095807,-0.235334557540782,1
-0.892700526752332,0.827541638793617,0.289196536490274,-0.989586808312899,-0.960244148894964,0.998989467294254,-0.369266092164432,0.993039655825804,0.520784236873613,-0.856729361475044,1
-0.650550435317569,0.574906081866897,-0.171658163964262,-0.971371291187674,-0.777291782960292,0.998945966888625,-0.00383993973573915,0.991657286594149,0.558560140046376,-0.656972750753087,1
-0.989536186192764,0.993446216268509,0.939397839486299,-0.999066596626373,-0.999363003717939,0.998190316187265,-0.629746949336926,0.989652466574989,0.455407749262836,-0.927320980594429,1
-0.980684244172005,0.960160285761299,0.743617494933262,-0.99756138758423,-0.997318981577912,0.998543147805039,-0.56891788006158,0.991101490418215,0.477278970395573,-0.914993106779766,1
-0.942576772725794,0.978491144481824,0.928701775864315,-0.996690140468966,-0.997599441262,0.998108349299406,-0.62114038980652,0.989728112811384,0.451168182648315,-0.921768017991202,1
