"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L1.C5","DF.L2.C1","DF.L2.C2","DF.L2.C3","DF.L2.C4","DF.L2.C5","DF.L2.C6","label"
-0.902690648063354,0.93856743159415,-0.743179436716943,0.783449227527775,-0.962798277135066,0.986586098762949,-0.703246435763466,0.949950771832395,-0.316993096232238,-0.776211782939004,0.676643700067904,1
-0.541676683207936,0.779539227380747,0.348092305458693,0.999842571436849,-0.127368820895717,0.688768471492095,-0.76230656298385,0.0435982122908204,-0.353613894199612,-0.398621707601456,0.928162036415391,1
-0.582918759245628,0.984717212360472,0.978642403552974,0.999998673111366,-0.37119175605054,0.684312625212542,-0.931302385377828,0.0818322152539209,-0.472424688488855,-0.580591575112757,0.978902086685731,1
-0.98456959751698,0.971184478429995,-0.880684282678129,-0.9653147822882,-0.998014807471052,0.999678861654149,-0.385028674990634,0.996992117526669,0.51751516150806,-0.881252018518419,0.409485139797667,1
-0.876911757273747,0.968432450737756,-0.90059354993071,-0.980462466595509,-0.995989498629317,0.999655557115111,-0.347388149092668,0.997125812144486,0.521545520298179,-0.869810756528492,0.359213963095324,1
-0.952307323472912,0.96902021674278,-0.893577292522403,-0.963592921866585,-0.996701468396653,0.999669488486963,-0.370311332559526,0.99701874901631,0.5171484786544,-0.87744967064371,0.390260463236228,1
-0.965619471851658,0.937239241261449,-0.895161633024879,-0.963071471934602,-0.99366126800602,0.999663223703101,-0.362733025096816,0.996937307061743,0.521443224193931,-0.873074350216355,0.370165406496433,1
-0.977064300115216,0.986853020239695,-0.867894294052298,-0.912879054201683,-0.998587556533451,0.999642091888269,-0.405756976692366,0.996743923964331,0.494487059033095,-0.881283104391467,0.434760867479345,1
-0.979930951845942,0.981881054324958,-0.867936903144592,-0.979538352429439,-0.997422898041431,0.999684981039741,-0.390905761565383,0.99703210975291,0.520656924796877,-0.882945670249888,0.421954772070707,1
-0.964290680206869,0.954583549502114,-0.906378498868105,-0.96807603431122,-0.997070527114784,0.999676543237213,-0.360761263650183,0.997051207868176,0.521700902718386,-0.876464538598957,0.373831067378364,1
-0.978929458016445,0.987075870386925,-0.849314269234793,-0.877128111110161,-0.999224231805032,0.999610223966793,-0.42433990375855,0.996506282538753,0.479014907093639,-0.880245775251729,0.452356158290525,1
-0.971322136710893,0.930071709821988,-0.916445895676909,-0.952480498818325,-0.995616921243144,0.999664129313339,-0.352606023624654,0.996956088400499,0.519745069891023,-0.872276254068787,0.353439863736215,1
-0.970691934451825,0.989679671181134,-0.873517657555151,-0.971748950316109,-0.999101094463951,0.999681832731306,-0.390240371640195,0.997043433491913,0.516734109608589,-0.883180830155269,0.422158265068111,1
-0.17388549499844,0.750474169607319,-0.927651949443558,-0.961707229829162,-0.88616216231799,0.998945842491454,-0.0590874506701566,0.995952948311492,0.532492571829359,-0.670004922214473,-0.0591081152188464,1
-0.831872736991639,0.95430098291581,-0.827902120946375,-0.975564553984253,-0.997563918834544,0.999604180884488,-0.381097509577174,0.99687870607189,0.514030731938568,-0.861646312654888,0.38369557240232,1
-0.751306814626847,0.963013622740498,-0.824000021672749,-0.927365903235871,-0.998220773835051,0.999528622139128,-0.380515665501819,0.996680466796352,0.491372721554809,-0.851678109307834,0.375675221172455,1
-0.648904147824504,0.918779558339214,-0.902826504389311,-0.978175868414662,-0.995064814856384,0.999539902048812,-0.288278726534758,0.997086422322273,0.518508934713426,-0.830837857123472,0.244215751555267,1
-0.996700828383864,0.98925636844835,-0.856033344150583,-0.97115587809679,-0.999581687507535,0.999684836557065,-0.405610977369326,0.996983386304044,0.516081397228599,-0.8856369739008,0.440527891347745,1
-0.995052054776358,0.991627573835901,-0.872520114764608,-0.969740346450667,-0.999617682102118,0.999689182945711,-0.396546371043199,0.997032625156948,0.516459546080851,-0.885876368629366,0.431569126934751,1
-0.991917336912529,0.986773294306621,-0.879178732884418,-0.945857176384375,-0.999324132647411,0.999673741688441,-0.395643879550575,0.996936326874728,0.508408130664905,-0.88398749693552,0.426694572582836,1
-0.976553193695323,0.979935290977717,-0.854190757409151,-0.889299023426709,-0.998497142167073,0.999617409602185,-0.41668584323902,0.996565626084829,0.485025168459622,-0.879186837238487,0.44192761536037,1
-0.988299491708204,0.973342225272537,-0.897794626021679,-0.973842492410373,-0.998458067916173,0.999691495515977,-0.374560379005819,0.99708755209607,0.521801748646545,-0.882382101058813,0.399636160380099,1
-0.998171048762508,0.996925651825788,-0.827581057484459,-0.9507624875326,-0.99988547539088,0.999665662498182,-0.428183644277155,0.996815612610566,0.505383621324707,-0.886245280124425,0.466847566108772,1
-0.994496707491619,0.994384850513776,-0.866246673035849,-0.950669347333475,-0.999707030973373,0.999675991923829,-0.404656567797753,0.99693382571331,0.508451882340752,-0.885612988764452,0.440217801347412,1
-0.987594872445636,0.951284224364155,-0.852632086138836,-0.831640041540794,-0.996725412144599,0.999563576658172,-0.423641452130237,0.996167937649871,0.466038487309699,-0.873181705132454,0.434959304917574,1
-0.995880542347569,0.985869890214776,-0.846369734236903,-0.945006214208996,-0.999470509715553,0.999663693778703,-0.415465783902809,0.996825916398383,0.505819747344492,-0.8840861883655,0.447921432065892,1
-0.995454006255798,0.984478405466787,-0.813079711131766,-0.941340624543873,-0.99945543882563,0.999649387889442,-0.43473818888357,0.996695127527904,0.502032480671998,-0.883559283226818,0.467824734193767,1
-0.613972817225796,0.796135159994836,-0.94427263338795,-0.841939990212059,-0.911287681003459,0.99923914838971,-0.200728009070802,0.995488423164558,0.495090093703094,-0.776046610156799,0.141981102755804,1
-0.803752544167392,0.878594709537263,-0.937422596750188,-0.942496529838597,-0.951339937203506,0.999550882503176,-0.268630804633987,0.996570275314501,0.52408833829239,-0.837266628707945,0.25449573888641,1
-0.593284317594639,0.915317376052081,-0.946119525733076,-0.813792158188988,-0.92469879016791,0.999278388826302,-0.241172889025078,0.995780206104912,0.467658639384577,-0.805815763461881,0.236178001159372,1
-0.996714565013839,0.997301788853042,-0.787595436915046,-0.985880930901917,-0.999832632471618,0.99967500519982,-0.44359532770964,0.996851303117711,0.515587126136037,-0.887162443228418,0.485591732204892,1
-0.828568366377438,0.789782932411439,-0.936338498179975,-0.912532390519485,-0.931321252531988,0.999480995699869,-0.246038290822671,0.996012924804955,0.526325030750907,-0.816331483081896,0.19984921632679,1
-0.827612024741461,0.793529279235304,-0.945775490803178,-0.836761087339333,-0.940414109939472,0.999413003047885,-0.263488432095619,0.995690737032596,0.496544442820972,-0.814273818891804,0.20725838882288,1
-0.61752706459958,0.906453212104031,-0.943679260670677,-0.956252574666119,-0.972856609297591,0.999500950468377,-0.243437407319902,0.996936241548676,0.516976696592671,-0.820170334131881,0.202116987061399,1
-0.636726572232923,0.887664880512837,-0.942146314431255,-0.880525706144544,-0.917227257494432,0.999370475003827,-0.22575457323762,0.996009558217056,0.499441416418114,-0.808219384898364,0.22068640069724,1
-0.876213988704955,0.894832898929809,-0.92838851909572,-0.825253133482239,-0.981826561111975,0.99950317417254,-0.337192184347594,0.996194430317075,0.474344892760641,-0.847986774933827,0.311613404295033,1
