"DF.L1.C1","DF.L1.C2","DF.L1.C3","DF.L1.C4","DF.L2.C1","label"
-0.98909344259665,0.902347772204939,-0.518206699271111,-0.961908846800034,0.997151795801571,1
-0.502611723459302,0.975337702543787,0.958674703268997,-0.108818683155405,0.33037658062774,1
-0.564275217689566,0.999834191511379,0.998586513787154,-0.731275923017731,0.904781300315854,1
-0.999732309876973,0.435259956633177,-0.997384714074111,-0.981114065528196,0.996494726510161,1
-0.999744252320188,0.410718064095447,-0.95494148121712,-0.931593193798138,0.995285847556558,1
-0.999946984309129,0.564094495836024,-0.959763907368144,-0.948475413619031,0.996858479926918,1
-0.999615227126568,0.210288232614037,-0.983985357989873,-0.916669129793315,0.992608164233264,1
-0.999704550810129,0.869003893949379,-0.998875008349694,-0.949100439115243,0.998492517480266,1
-0.999873713593484,0.632975073069022,-0.991775935824264,-0.975076535615718,0.997663636820679,1
-0.999928415444221,0.325628235096321,-0.977066862189188,-0.948501542130938,0.994828333019122,1
-0.999743515285207,0.914372358952823,-0.999297202975125,-0.926232593744111,0.998520788400228,1
-0.999816050722078,0.129851084924673,-0.986273420985604,-0.947901061615145,0.992138274602273,1
-0.999906622600506,0.864385619867876,-0.993124104325739,-0.973145276284756,0.998590598030287,1
-0.845096037357981,-0.118492290566496,-0.86116748565822,-0.399538126498046,0.862921481599104,1
-0.967601191200335,0.910306441497407,-0.778895417205437,-0.92066952227885,0.9977614476649,1
-0.985682452798833,0.808160260607385,-0.970569486522333,-0.866744125527131,0.99753347404167,1
-0.968847235714859,0.508154416025948,-0.968837610683467,-0.837718790997084,0.994558549255834,1
-0.999797471033198,0.801741946821611,-0.999134495567889,-0.996119937491524,0.998523019572335,1
-0.999807108311139,0.898498321780431,-0.998982543114139,-0.993169502144252,0.998793895679214,1
-0.999534005610886,0.901359120546001,-0.998708686428177,-0.983701428246958,0.998759171605997,1
-0.999289720088543,0.866444420727464,-0.99735723498223,-0.964133251265118,0.998559155675816,1
-0.999248609242425,0.753243836675703,-0.995030484558457,-0.983471402184665,0.998267956847723,1
-0.999834172249501,0.966748308684878,-0.999856833343439,-0.998166854561197,0.998982250930492,1
-0.999739827833932,0.949676072170655,-0.999544347310749,-0.994729389306753,0.998929455445997,1
-0.998955346753177,0.600549845464777,-0.981611647841554,-0.955254642881367,0.997260127606663,1
-0.99978975994515,0.786020326362804,-0.998379946436663,-0.992837476312076,0.998451035813844,1
-0.999734170043281,0.827624207075149,-0.997307422889223,-0.990523400444665,0.998572601114183,1
-0.980029201654529,0.182154049339744,-0.894465639605447,-0.476374296963864,0.955900977836758,1
-0.990494115256612,0.0933667696510857,-0.948514875820568,-0.832467349544585,0.986203551992045,1
-0.946684675731597,0.851349215746432,-0.958728252166323,-0.674845361640987,0.9952055661796,1
-0.999961078488442,0.917986031205282,-0.999705298731598,-0.996926727732517,0.998861586473256,1
-0.993634217944896,-0.152090109022222,-0.885293253310856,-0.737847713600425,0.963889229498343,1
-0.983998057043464,0.501306974177815,-0.905609410776847,-0.653287634751162,0.988500141034325,1
-0.971225197128741,0.697279465466567,-0.898639080333345,-0.816581555087389,0.995703564709442,1
-0.971711739623691,0.491208073922853,-0.922432844100241,-0.735403637599215,0.991297405780287,1
-0.996870370817336,0.61504287334455,-0.976615569045962,-0.574457756559048,0.989553819140179,1
-0.53210529786652,-0.689703296401905,-0.757916783209728,0.276288669263998,-0.685203186127693,1
-0.998952101191038,0.665938323703188,-0.948245311886926,-0.533096181069132,0.988727396259227,1
-0.483411989798981,0.167479497641254,-0.92038291097194,0.177955906074581,0.357029153922654,1
-0.993405633592864,0.187606323359234,-0.944255446749219,-0.758200255278623,0.985351464136769,1
-0.958181418479347,-0.194119048156294,-0.760178795420595,-0.346302587826493,0.810635384467211,1
-0.999694412848865,0.850753537390997,-0.997823914816999,-0.992221296635412,0.998652794593184,1
-0.998610919313259,0.527548640827691,-0.993943178481937,-0.960889956945964,0.99690393155614,1
-0.998009962455467,0.843741838005252,-0.977828690380298,-0.962275257737846,0.998425624732748,1
-0.997840272663297,0.420516330994389,-0.992228010743476,-0.958631698545826,0.996034104845734,1
-0.996992624381561,0.617440129022108,-0.981506899365979,-0.962499450922223,0.997420117899255,1
-0.999384707702143,0.759523817468554,-0.998409251937936,-0.995030446466424,0.998369803397093,1
-0.99993200446299,0.969307005206983,-0.999911785137592,-0.999338171787655,0.998992438292525,1
-0.998753577385797,0.50259286297798,-0.984161012998777,-0.946379818570389,0.996503224969328,1
