"DF.L1.C1","DF.L2.C1","DF.L2.C2","DF.L2.C3","label"
0.987920702463996,-0.999253269499383,0.72108986324928,-0.761244324200423,1
0.159942422873392,-0.997848045758924,-0.0664961503438082,-0.152703779478791,1
0.840752031935144,-0.999098660737475,0.626930600339704,-0.690508573824013,1
0.997844694428138,-0.999262685511209,0.726660959083561,-0.765471786748982,1
0.990978390412659,-0.999256183414873,0.722816445527827,-0.762553824637206,1
0.993315129856633,-0.999258402616038,0.72412987699182,-0.763550374598212,1
0.987991639169524,-0.999253337229767,0.721130020935262,-0.761274774510978,1
0.997110812067059,-0.99926199327661,0.726252202905012,-0.765161400321553,1
0.998097281703214,-0.999262923614006,0.726801525705461,-0.765578533081305,1
0.991652080080384,-0.999256823898043,0.723195649551058,-0.762841505532824,1
0.997032771866304,-0.999261919626979,0.726208706005053,-0.765128373247668,1
0.989603346505502,-0.999254874434614,0.722041112918922,-0.761965712259171,1
0.998633972584798,-0.999263429273512,0.72709999600692,-0.765805205044078,1
0.707077891398709,-0.998930666838094,0.5217123273935,-0.612218961323178,1
0.984820093467513,-0.999250303028349,0.719329851257531,-0.759910071979295,1
0.981570035874254,-0.999247180927739,0.717475041032091,-0.75850460195035,1
0.96381705607572,-0.999229896074793,0.707162072910298,-0.750701660937139,1
0.999682158816736,-0.999264415854014,0.727682132845249,-0.766247359408977,1
0.999584919424601,-0.999264324385352,0.727628172530269,-0.766206371603874,1
0.998951842704803,-0.999263728600906,0.727276643860421,-0.765939368164759,1
0.997982463727385,-0.999262815389733,0.726737636227218,-0.76553001488816,1
0.998301276641236,-0.99926311585486,0.72691500592333,-0.765664712966195,1
0.999940773035494,-0.9992646590653,0.727825599840899,-0.766356338688782,1
0.999782687420229,-0.999264510404737,0.727737908949649,-0.766289727109187,1
0.993684824373501,-0.999258753107972,0.724337194771656,-0.763707706103105,1
0.999368893281914,-0.999264121138719,0.727508262558207,-0.76611529115647,1
0.999485100095342,-0.999264230478033,0.727572771182484,-0.766164289832148,1
0.794862291166743,-0.999044193427409,0.59296155729779,-0.665197773889939,1
0.947591927963604,-0.999213752048597,0.697465695446101,-0.743382102845122,1
0.932702614441455,-0.999198639663167,0.688336908423964,-0.736504660662043,1
0.999906339358285,-0.999264626687115,0.727806501333001,-0.766341830981992,1
0.891364471564179,-0.999155142704563,0.661814054687244,-0.716587939593605,1
0.86503991952493,-0.999126221408397,0.644005484501189,-0.703260240707646,1
0.947236880124361,-0.999213395018616,0.697250592995826,-0.743219901386214,1
